namc_code,namc_term_diacritical,query
AAB-48 (SM1Y),(a) dantaśaithilyam,(a) dantaśaithilyam (a) dantaśaithilyam dantasaithilyam (kevalavata) दन्तशैथिल्यम् (केवलवात)
SN60(AAB-49),(a) nakhabhedaḥ,"(a) nakhabhedaḥ (a) nakhabhedaḥ nakhabedah (kevalavata) नखभेदः (केवलवात) it is characterised by whitish, mica coloured discoloration, brittleness of nails. this may be explained by: (a) vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha."
AAB-50(SN7Y),(a) hrasvakeśaḥ,(a) hrasvakeśaḥ (a) hrasvakeśaḥ hrasvakesah (kevalavata) ह्रस्वकेशः (केवलवात)
AAB-51,nirāmavātaḥ,nirāmavātaḥ nirāmavātaḥ niramavatah निरामवातः
AAB-52,pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),pakṣāghātaḥ pakṣavadhaḥ (kēvalavāta) pakṣāghātaḥ pakṣavadhaḥ (kēvalavāta) pakshaghatah pakshavadhah (kevalavata) पक्षाघातः पक्षवधः (केवलवात)
AAB-53(SK21),(a) pāṅgulyam,(a) pāṅgulyam (a) pāṅgulyam pa~ggulyam (kevalavata) पाङ्गुल्यम् (केवलवात)
AAB-54(SK5Y),(a) pādabhraṃśaḥ,(a) pādabhraṃśaḥ (a) pādabhraṃśaḥ padabramsah (kevalavata) पादभ्रंशः (केवलवात)
AAB-55(SP4Y),(a) pādaśūlaḥ,(a) pādaśūlaḥ (a) pādaśūlaḥ padasulah (kevalavata) पादशूलः (केवलवात)
AAB-56(SP45),(a) pādasuptatā,(a) pādasuptatā (a) pādasuptatā padasuptata (kevalavata) पादसुप्तता (केवलवात)
SN4R(AAB-57),(a) pāruṣyam,(a) pāruṣyam (a) pāruṣyam parushyam (kevalavata) पारुष्यम् (केवलवात) it is characterised by roughness and thickness of skin may be associated with itching. this may be explained by: (a) vitiated vatadosha.
AAB-58,pārśvāvamardaḥ (kēvalavāta),pārśvāvamardaḥ (kēvalavāta) pārśvāvamardaḥ (kēvalavāta) parsvavamardah (kevalavata) पार्श्वावमर्दः (केवलवात)
AAB-59(SP9Y),(a) piṇḍikodveṣṭanam,(a) piṇḍikodveṣṭanam (a) piṇḍikodveṣṭanam pindikodveshtanam (kevalavata) पिण्डिकोद्वेष्टनम् (केवलवात)
AAB-60,purīṣātigāḍhatvam (kēvalavāta),purīṣātigāḍhatvam (kēvalavāta) purīṣātigāḍhatvam (kēvalavāta) purishatigadhatvam (kevalavata) पुरीषातिगाढत्वम् (केवलवात)
SP42(AAB-61),(a) pṛṣṭha-grahaḥ,"(a) pṛṣṭha grahaḥ (a) pṛṣṭha grahaḥ prushtha grahah (kevalavata) पृष्ठ ग्रहः (केवलवात) it is characterised by backache of various degrees associated with stiffness and immobility. this may be explained by: (a) vitiation of vata, kapha affecting the local muscle tissue."
AAB-62,pralāpakaḥ (kēvalavāta),pralāpakaḥ (kēvalavāta) pralāpakaḥ (kēvalavāta) pralapakah (kevalavata) प्रलापकः (केवलवात)
AAB-63,bādhiryam (kēvalavāta),bādhiryam (kēvalavāta) bādhiryam (kēvalavāta) badhiryam (kevalavata) बाधिर्यम् (केवलवात)
AAB-64(SP4Y),(a) bāhuśoṣaḥ,(a) bāhuśoṣaḥ (a) bāhuśoṣaḥ bahusoshah (kevalavata) बाहुशोषः (केवलवात)
AAB-65(SP9Y),(a) balahāniḥ,(a) balahāniḥ (a) balahāniḥ balahanih (kevalavata) बलहानिः (केवलवात)
AAB-66(SP9Y),(a) bhedaḥ,(a) bhedaḥ (a) bhedaḥ bedah (kevalavata) भेदः (केवलवात)
AAB-67,,biruta (kevalavata) भीरुता (केवलवात)
AAB-68(SM7Y),(a) mala-apravṛtiḥ,(a) mala apravṛtiḥ (a) mala apravṛtiḥ mala apravrutih (kevalavata) मल अप्रवृतिः (केवलवात)
AAB-69,mūkatvam (kēvalavāta),mūkatvam (kēvalavāta) mūkatvam (kēvalavāta) mukatvam (kevalavata) मूकत्वम् (केवलवात)
AAB-70,mōhaḥ (kēvalavāta),mōhaḥ (kēvalavāta) mōhaḥ (kēvalavāta) mohah (kevalavata) मोहः (केवलवात)
AAB-71,bhramaḥ (kēvalavāta),bhramaḥ (kēvalavāta) bhramaḥ (kēvalavāta) bramah (kevalavata) भ्रमः (केवलवात)
