namc_term_diacritical,tm2_code,count
(a) mūtrāghātaḥ,SM82,1
(a) mūtraukasādaḥ,SM89,1
(a) mūtrajaṭharaḥ,SM82,1
(a) mūtrotsaṅgaḥ,SM88,1
(a) mūtrasaṃkṣayaḥ,SM8E,1
(a) mūtrātītaḥ,SM88,1
(a) vātabastiḥ,SM8B,1
(a) uṣṇavātaḥ (a) uṣṇamāruta,SM87,1
(a) vātakuṇḍalikā,SM88,1
"(a) mūtragranthiḥ, (a) raktagranthiḥ",SM8Y,1
(a) mūtraśukraḥ,SN09,1
(a) viḍ-vighātaḥ,SM52,1
(a) bastikuṇḍalaḥ,SM82,1
(a) mūtrakṛcchram,SM87,1
"(a) ambuvahasrotoduṣṭiḥ, (a) udakavahasrotoduṣṭiḥ",SR58,1
(a) tṛṣṇā,SP63,1
"(a) śvayathuḥ/śothaḥ /(a) śophaḥ (a) śvayathuḥ , (a) śothaḥ",SP92,1
(a) sarvasara-śōthaḥ,SP91,1
"(a) udara (a) udararogaḥ, (a) jalodaraḥ",SM32,1
(a) vātaja-udararogaḥ,SM32,1
(a) pittaja-udararogaḥ,SM32,1
(a) kaphaja-udararogaḥ,SM32,1
(a) sannipātōdaraḥ-udararogaḥ,SM32,1
(a) yakṛddālyudaraḥ,SM42,1
(a) baddhagudodaraḥ,SM32,1
"(a) chidrodaraḥ, (a) kṣatodaram (a) kṣatodaraḥ",SM32,1
(a) ajātodakaḥ,SM32,1
(a) acaraṇā,SM9Y,1
(a) atyānandā,SM9Y,1
(a) antarmukhī,SM94,1
(a) arajaskā (a) rajonāśaḥ / naṣṭārtava / anārtava,SM90,1
(a) udāvartinī,SM96,1
(a) jātaghnī,SN12,1
(a) lohitakṣayā,SM97,1
(a) viplutā,SM9B,1
(a) karṇinī,SM91,1
"(a) prasraṃsiṇī, (a) prasrāviṇī",SM9A,1
"(a) phalinī, (a) aṇḍalī",SM9A,1
(a) mahāyoniḥ (a) vivṛtā,SM9A,1
(a) vāminī,SM94,1
(a) vandhyā,SM94,1
"(a) ṣaṇḍhī, (a) khaṇḍitā",SM94,1
"(a) sūcīmukhi, (a) sūcīvaktrā",SM9Y,1
(a) yonikandaḥ,SM92,1
(a) yoni-arśaḥ,SM99,1
(a) asṛgdaraḥ (a) Raktapradar,SM98,1
(a) śvetapradaraḥ,SM93,1
(a) sūtikārogaḥ,SN1Y,1
(a) makkallaḥ,SM9C,1
(a) manovahasrotoduṣṭiḥ,SR5E,1
(a) unmādaḥ,SQ03,1
(a) pittaja-unmādaḥ,SQ41,1
(a) kaphaja-unmādaḥ,SQ04,1
(a) apasmāraḥ,SK31,1
"(a) atattvābhiniveśaḥ, (a) mahāgadaḥ",SQ0Y,1
(a) madātyayaḥ (a) pānātyayaḥ,SQ20,1
(a) madaḥ,SQ2Y,1
(a) mūrcchā,SP98,1
(a) vataja mūrcchā,SP98,1
(a) pittaja mūrcchā,SP98,1
(a) kaphaja mūrcchā,SP98,1
(a) sannipataja mūrcchā,SP98,1
(a) raktaka mūrcchā,SP98,1
(a) madyaja mūrcchā,SP98,1
(a) vishaja mūrcchā,SP98,1
(a) glanija mūrcchā,SP98,1
(a) mana-santāpaḥ,SQ10,1
(a) bhramaḥ,SK10,1
(a) śiraḥśūla(a) śiroruk,SK00,1
(a) kṛmija-śirorogaḥ,SK00,1
(a) anantavātaḥ,SK00,1
(a) ardhāvabhedakaḥ,SK01,1
(a) sūryāvartaḥ,SK00,1
(a) śaṅkhakaḥ,SK00,1
(a) śiraḥkampaḥ,SK52,1
(a) kṣayajaśirorogaḥ,SK00,1
(a) kapāla-rogaḥ,SK50,1
(a) akālapalitaḥ,SN73,1
(a) khālityam,SN71,1
(a) dāruṇakaḥ,SN91,1
(a) kapālarbudaḥ,SK50,1
(a) kapālavidradhiḥ,SP9Y,1
(a) vātaja-oṣṭhaprakopaḥ,SM1M,1
(a) pittaja-ōṣṭhaprakōpaḥ,SM1K,1
(a) kaphaja-ōṣṭhaprakōpaḥ,SM1L,1
(a) kṣataja-ōṣṭhaprakōpaḥ (a) abhighātaja-oṣṭhaprakopaḥ,SM1K,1
(a) jalārbudaḥ,SM1Y,1
(a) śītādaḥ,SM1Y,1
(a) dantapuppuṭaḥ,SM1Y,1
(a) dantaveṣṭakaḥ,SM13,1
(a) śauṣiraḥ,SM11,1
(a) mahāśauṣiraḥ,SM11,1
(a) paridaraḥ,SM1B,1
(a) upakuśaḥ,SM14,1
"(a) vardhanaḥ, (a) adhidantaḥ",SM1Y,1
(a) adhimāṃsaḥ,SM1Y,1
(a) karālaḥ,SM1Y,1
(a) dantanāḍī,SM1E,1
(a) dālanaḥ,SM1A,1
(a) kṛmidantakaḥ,SM1E,1
(a) dantaharṣaḥ,SM1J,1
(a) dantaśarkarā,SM1F,1
(a) kapālikā,SM1E,1
(a) śyāvadantakaḥ,SM1G,1
(a) dantacālaḥ,SM1H,1
(a) dantavidradhiḥ,SM11,1
(a) alāsaḥ,SM1Y,1
(a) upajihvikā,SM1C,1
(a) adhijihvā,SP9Y,1
(a) galaśuṇḍikā,SM18,1
(a) galagrahaḥ,SM19,1
(a) tuṇḍikerī,SL06,1
(a) adhruṣaḥ,SM17,1
"(a) kacchapaḥ, (a) kacchapī",SM1Y,1
(a) tālu-arbudaḥ,SM1Y,1
"(a) māṃsasaṅghātaḥ, (a) tālusaṃhatiḥ",SM1Y,1
(a) tālupuppuṭaḥ,SM1Y,1
"(a) tālupākaḥ, (a) tāluśothaḥ",SP9Y,1
"(a) tālupiḍakā, (a) tālupiṭikā",SM1Y,1
(a) tāluvidradhiḥ,SP9Y,1
(a) rohiṇī,SL04,1
(a) kaṇṭhaśālūkaḥ,SK9A,1
(a) valayaḥ,SL00,1
(a) balāsaḥ,SL05,1
(a) śataghnī,SL01,1
galavidradhiḥ,SL0Y,1
(a) galaughaḥ,SL05,1
(a) svaraghnam,SL03,1
(a) māṃsatānaḥ,SL00,1
(a) kaṇṭhagata-vidārī,SL0Y,1
(a) apacī,SM00,1
(a) galārbudaḥ,SL00,1
(a) gaṇḍālajī,SL2Y,1
(a) gaṇḍamālā,SL08,1
(a) asādhya gaṇḍamālā,SL08,1
(a) galagaṇḍaḥ,SL0Y,1
(a) sarvasara mukharogaḥ,SM1Y,1
(a) pūyālasaḥ,SK68,1
(a) upanāhaḥ,SK7Y,1
(a) srāvaḥ,SK6D,1
(a) parvaṇikā,SK66,1
(a) alajī,SK7Y,1
(a) kṛmigranthiḥ,SK62,1
(a) utsaṅginī,SK7Y,1
(a) kumbhīkā,SK69,1
(a) pothakī,SK6U,1
(a) arśovartma,SK6U,1
(a) añjananāmikā,SK6P,1
(a) bahalavartma,SK7Y,1
(a) vartmāvabandhakaḥ,SK62,1
(a) vartmakardamaḥ,SK7Y,1
(a) kliṣṭavartma,SK7Y,1
(a) śyāvavartma,SK6K,1
(a) praklinnavartma (a) kaphotkliṣṭa-vartma,SK66,1
(a) apariklinnavartma,SK66,1
(a) vātahata-vartma,SK7Y,1
(a) vartmārbudaḥ,SK6F,1
(a) nimeṣaḥ,SK6J,1
(a) vartmagata-raktārśaḥ,SK6H,1
(a) lagaṇaḥ,SK6N,1
(a) kuñcanaḥ,SK7Y,1
(a) pittottkliṣṭaḥ,SK7Y,1
(a) utkliṣṭavartma,SK7Y,1
(a) śliṣṭa-vartma,SK6M,1
(a) sikatā-vartma (a) vartmaśarkarā,SK7Y,1
(a) pakṣmakopaḥ (a) Pakṣmoparodhaḥ,SK6E,1
(a) pakṣmaśātaḥ,SK6Q,1
(a) prastāri-arma,SK6C,1
(a) śuklārma,SK6C,1
(a) lohitārma (a) kṣatārma,SK6C,1
(a) adhimāṃsajārma,SK7Y,1
(a) snāyvarma,SK66,1
(a) piṣṭakaḥ,SK7Y,1
(a) sirājapiḍakā (a) sirāpiḍakā,SK6T,1
(a) kṛṣṇagatarogaḥ,SK67,1
(a) savraṇaśukraḥ,SK67,1
(a) avraṇaśukraḥ,SK6V,1
(a) pākātyayaḥ,SK67,1
(a) ajakājājta (a) ajakā,SK61,1
(a) sirāśukraḥ,SK7Y,1
(a) abhiṣyandaḥ,SK66,1
(a) saśophapākaḥ,SK6W,1
(a) aśophapākaḥ,SK6R,1
(a) hatādhimanthaḥ,SK6X,1
(a) vātaparyāyaḥ,SK7Y,1
(a) śuṣkākṣipākaḥ,SK6A,1
(a) anyatovātaḥ,SK7Y,1
(a) amlādhyuṣitaḥ (a) amloṣita,SK7Y,1
(a) sirotpātaḥ,SK60,1
(a) sirāpraharṣaḥ (a) Sirāharṣaḥ,SK60,1
(a) timiraḥ,SK65,1
(a) kācaḥ,SK65,1
(a) ślaiṣmika-kācaḥ,SK65,1
(a) sānnipātika-kācaḥ,SK65,1
(a) liṅganāśaḥ,SK7Y,1
(a) pittavidagdhadṛṣṭi (a) divāndhyam,SK63,1
(a) rātryāndhyam (a) kaphavidagdhadṛṣṭi,SK64,1
(a) uṣṇavidagdhadṛṣṭiḥ (a) vidagdhoṣṇaḥ (a) vidagdhoṣṇaḥ,SK7Y,1
(a) dhūmadarśī (a) dhūmaraḥ,SK7Y,1
(a) hrasvajāḍyam,SK7Y,1
(a) nakulāndhyam,SK7Y,1
(a) gambhīrā-dṛṣṭiḥ,SK7Y,1
(a) vidagdhāmladṛṣṭiḥ,SK7Y,1
(a) pratiśyāyaḥ (a) pīnasaḥ,SK95,1
(a) kṣavathuḥ,SL20,1
(a) nāsāśoṣaḥ,SK93,1
(a) nāsānāhaḥ (a) pratīnāhaḥ,SK97,1
(a) ghrāṇasrāvaḥ (a) nāsāsrāvaḥ,SK96,1
(a) apīnasaḥ,SK95,1
(a) ghrāṇapākaḥ (a) nāsāpākaḥ,SK95,1
(a) nāsāśvayathuḥ,SK9Y,1
(a) nāsārbudaḥ,SK9Y,1
