namc_code,namc_term_diacritical,short_definition,long_definition
AAC-19,(a) khallī,-,"It is characterised by severe spamodic, cramp like pain in upper or lower limb muscles. It may be shifting in nature. This may be explained by: (a) Severe vitiation of vatadosha."
AAC-20,(a) gṛdhrasī,-,"It is characterised by moderate to severe pain, starting from acetabulum of hip bone, mainly travelling laterally to ankle joint and rarely radiating from the medial side of thigh. This may be explained by: (a) Vitiation of vata affecting nerves, tendons, muscles of leg; may be associated with vitiated kapha (resulting in mild pain)."
AAC-20.1,vātikagr̥dhrasī,-,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]"
AAC-20.2,vātakaphaja-gr̥dhrasī,-,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], tandrā [drowsiness/lassitude], gauravam [heaviness], arōcakaḥ/bhaktadvēṣaḥ [tastelessness/aversion to food], vahnimārdavam [diminution of agni /hypofunction of digestive mechanism], mukhaprasēkaḥ [salivation]"
AAC-21,(a) jihvāstambhaḥ,-,-
AAC-22,(a) tūnī,-,"It is characterised by spasmodic pain in loin radiating to pubic region and thigh. It may be associated with haematuria, chills and fever. This may be explained by: (a) Obstruction of urinary passage (due to renal calculi) aggravates vata leading to spasmodic pain."
AAC-239,(a) daṇḍāpatānakaḥ,-,-
AAC-24,(a) pakṣāghāta (a) pakṣavadhaḥ,-,"It is characterised by loss of mobility or flaccidity of one side of the body. May be associated with difficulty in swallowing, speech, deranged cognitive functions, tactile sensation. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor, sensory and cognitive functions."
AAC-24.1,kaphānvitapakṣāghātaḥ,-,"the disorder is characterized by śaitya [cold on touch on affected side of body], śōtha [oedema], gurutva [heaviness]"
AAC-24.2,pittānvitapakṣāghātaḥ,-,"the disorder is characterized by dāhaḥ [burning sensation], santāpaḥ [burning sensation], mūrcchā [syncope/attacks of swooning]"
AAC-24.3,bāla-pakṣāghātaḥ,-,-
AAC-25,(a) pādadāhaḥ,-,-
AAC-26,(a) pādaharṣaḥ,-,-
AAC-27,(a) pratitūnī,-,-
AAC-28,pratyaṣṭhīlā,-,"the disorder is characterized by rujaḥ/atyugrarujā [pain/excessive pain], aṣṭhīlāvat ghanaṁ granthi [stony hard round shaped gland], vāta-rōdhanam/vātanirōdhaḥ [obstruction to flatus], viḍ-rōdhanam [obstruction to feces], mūtra-rōdhanam [obstruction in passage of urine], āṭōpaḥ [gurgling sound of the intestines/barborygmus], udarādhmānam [distention of abdomen]"
AAC-29,vraṇāyāmaḥ,-,-
AAC-30,(a) paṅguḥ,-,"It is characterised by flaccidity, loss of function in both lower limbs. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor functions."
AAC-31,(a) minminaḥ,-,"It is characterised by hypernasal voice leading to nasal twang. This may be explained by: (a) Obstruction to oral, nasal passages, vitiation of vata."
AAC-32,manyāstambhaḥ,-,the disorder is characterized by manyāstambhaḥ [torticollis/stiffness of neck]
AAC-33,(a) mūkatvam,-,It is characterised by inability to speak. This may be explained by: (a) Vatadosha and kaphadosha affecting speech faculties.
AAC-34,(a) vātakaṇṭakam,-,It is characterised by pain in heel especially during walking. This may be explained by: (a) Increased vatadosha affecting the heel.
AAC-35,(a) viśvācī,-,"It is characterised by pain in the neck, throat radiating up to the upper limbs, restricted movements. May be associated with, insomnia, temporary loss of hearing, memory. This may be explained by: (a) vitiation of vatadosha, pittadosha affecting neck, upper arms."
AAC-36,(a) kampaḥ,-,"It is characterised by tremors, rigidity, and may be associated with dryness of the skin and insomnia. This may be explained by: (a) aggravation of vata affecting the motor system."
AAC-37,śirōgrahaḥ,-,-
AAC-38,(a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ,-,-
AAC-39,(a) sirāgrahaḥ,-,-
AAC-40,(a) hanugrahaḥ (a) hanusraṃsa,-,-
AAD,(a) āvaraṇa,-,"It is characterised by hampering of the normal functioning of the dosha leading to local or systemic symptoms. This may be explained the occlusion of the free flowing and all-pervading Vata dosha or subtype of it by one another or by Pitta, Kapha, tissues, food and excreta."
AAD-1,anyōnyāvaraṇaḥ/paraspara-āvaraṇaḥ,-,-
AAD-1.1,prāṇāvr̥tavyānavātaḥ,-,"the disorder is characterized by sarvēndriyāṇāṁ śūnyatva [loss of ability of sense organs], smr̥tikṣayaḥ [loss of memory], balakṣayaḥ [loss of physical strength or weakness]"
AAD-1.2,vyānāvr̥taprāṇavātaḥ,-,"the disorder is characterized by svēdōऽtyartham [excessive sweating], lōmaharṣaḥ [horripilation], tvagdōṣaḥ [skin diseases], suptagātratā [numbness in the body parts]"
AAD-1.3,prāṇāvr̥tasamānavātaḥ,-,"the disorder is characterized by jaḍatvam [dullness/frigidity/inactiveness], gadgadatvam [stuttering/stammmering], mūkatvam [dumbness/aphasia]"
AAD-1.4,samānāvr̥ta-apānavātaḥ,-,"the disorder is characterized by grahaṇī [derangement of agni situated in grahaṇī], pārśvagadaḥ [pain/disease in flanks], hr̥dgadaḥ [diseases of heart], āmāśayaśūlam [colicky pain in epigastric region]"
AAD-1.5,prāṇāvr̥ta-udānavātaḥ,-,"the disorder is characterized by śirōgrahaḥ [stiffness of head], pratiśyāyaḥ [cold, catarrh], niḥśvāsōcchvāsasaṁgrahaḥ/niḥśvāsōcchvāsasaṁrōdhaḥ [obstruction/restriction to respiration], hr̥drōgaḥ [diseases of heart], mukhaśōṣaḥ [dryness in mouth]"
AAD-1.6,udānāvr̥taprāṇavātaḥ,-,"the disorder is characterized by karmanāśaḥ [loss of activities], ōjōnāśaḥ [loss of vitality/bodily strength, energy, power], balanāśaḥ [loss of strength], varṇanāśaḥ [loss of lustre/complexion], mr̥tyuḥ [death]"
AAD-1.7,udānāvr̥ta-apānavātaḥ,-,"the disorder is characterized by chardiḥ [vomiting], śvāsaḥ [breathlessness/difficult breathing]"
AAD-1.8,apānāvr̥ta-udānavātaḥ,-,"the disorder is characterized by mōhaḥ [semiconsciousness or stupefaction], alpāgniḥ [insufficient digestive power/capacity], atīsāraḥ [diarrhoea]"
AAD-1.9,vyānāvr̥ta-apānavātaḥ,-,"the disorder is characterized by vamiḥ [vomiting], ādhmānam [abdominal distension], udāvartaḥ [upword movement of vayu due to retention of stool and urine], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], artiḥ [pain], parikartikā [sharp cutting pain in anus]"
AAD-1.10,apānāvr̥ta-vyānavātaḥ,-,"the disorder is characterized by viṭ-atipravr̥ttiḥ [excessive defecation], mūtra-atipravr̥ttiḥ [excessive micturition], rētas-atipravr̥ttiḥ [excessive semen/ejaculation]"
AAD-1.11,samānāvr̥ta-vyānavātaḥ,-,"the disorder is characterized by mūrcchā [syncope/attacks of swooning], tandrā [drowsiness/lassitude], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], aṅgasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], agnikṣayaḥ [diminution of agni (digestive power)], ōjaḥkṣayaḥ [diminution of vitality/body energy/power], balakṣayaḥ [loss of physical strength or weakness]"
AAD-1.12,udānāvr̥tavyānavātaḥ,-,"the disorder is characterized by stabdhatā [stiffness], alpāgnitā [insufficient digestive power/capacity], asvēdaḥ [anhidrosis/lack of sweating], cēṣṭāhāniḥ [loss of activities/motor function], nimīlanam [having the eyes closed]"
AAD-1.13,apānāvr̥tasamānavātaḥ,-,-
AAD-1.14,apānāvr̥ta-prāṇavātaḥ,-,-
AAD-1.15,prāṇāvr̥ta-apānavātaḥ,-,-
AAD-1.16,samānāvr̥taprāṇavātaḥ,-,-
AAD-1.17,samānāvr̥ta-udānavātaḥ,-,-
AAD-1.18,udānāvr̥tasamānavātaḥ,-,-
AAD-1.19,vyānāvr̥ta-udānavātaḥ,-,-
AAD-1.20,vyānāvr̥tasamānavātaḥ,-,-
AAD-2,dōṣāvr̥ta-vātaḥ,-,-
AAD-2.1,(a) pittāvṛtavātaḥ,-,-
AAD-2.2,(a) kaphāvṛtavātaḥ,-,-
AAD-2.3,(a) pittāvṛtaprāṇavātaḥ,-,-
AAD-2.4,(a) kaphāvṛtaprāṇavātaḥ,-,-
AAD-2.5,(a) pittāvṛta-udānavātaḥ,-,-
AAD-2.6,(a) kaphāvṛta-udānavātaḥ,-,-
AAD-2.7,(a) pittāvṛta-samānavātaḥ,-,-
AAD-2.8,(a) kaphāvṛtasamānavātaḥ,-,-
AAD-2.9,(a) pittāvṛtavyānavātaḥ,-,-
AAD-2.10,(a) kaphāvṛtavyānavātaḥ,-,-
AAD-2.11,(a) pittāvṛta-apānavātaḥ,-,-
