Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Short_definition,Long_definition,query,normalized_term
2317,2318,H-10.1,ورم الخصيتين حار/ورم الانثيين حار,Waram al-Khuṣyatayn Ḥārr/Waram al-Unthayayn Ḥārr,Acute orchitis,"Acute inflammation of testes caused by predominance of sanguine or yellow bile and characterised by redness, heat and intense pain, thirst and yellowish urine.","waram al-khuṣyatayn ḥārr/waram al-unthayayn ḥārr waram al-khuṣyatayn ḥārr/waram al-unthayayn ḥārr waram al-khuṣyatayn ḥārr/waram al-unthayayn ḥārr waram al-khuṣyatayn ḥārr/waram al-unthayayn ḥārr ورم الخصيتين حار/ورم الانثيين حار ورم الخصيتين حار/ورم الانثيين حار ورم الخصيتين حار/ورم الانثيين حار ورم الخصيتين حار/ورم الانثيين حار acute orchitis acute orchitis acute orchitis acute inflammation of testes caused by predominance of sanguine or yellow bile and characterised by redness, heat and intense pain, thirst and yellowish urine.",waram al-khuṣyatayn ḥārr/waram al-unthayayn ḥārr
2318,2319,H-10.1.1,ورم الخصيتين دموی/ورم الانثيين دموی,"Waram
al-Khuṣyatayn Damawī/
Waram
al-Unthayayn Damawī",Sanguineous orchitis,"Acute inflammation of testes caused by predominance of sanguine and characterised by larger swelling, redness, heat, pain with heaviness and fever of sanguineous nature.","waram al-khuṣyatayn damawī/ waram al-unthayayn damawī waram al-khuṣyatayn damawī/ waram al-unthayayn damawī waram al-khuṣyatayn damawī/ waram al-unthayayn damawī waram al-khuṣyatayn damawī/ waram al-unthayayn damawī ورم الخصيتين دموی/ورم الانثيين دموی ورم الخصيتين دموی/ورم الانثيين دموی ورم الخصيتين دموی/ورم الانثيين دموی ورم الخصيتين دموی/ورم الانثيين دموی sanguineous orchitis sanguineous orchitis sanguineous orchitis acute inflammation of testes caused by predominance of sanguine and characterised by larger swelling, redness, heat, pain with heaviness and fever of sanguineous nature.",waram al-khuṣyatayn damawī/ waram al-unthayayn damawī
2319,2320,H-10.1.2,ورم الخصيتين صفراوی/ورم الانثيين صفراوی,Waram al-Khuṣyatayn Ṣafrāwī/Waram al-Unthayayn Ṣafrāwī,Bilious orchitis,"Acute inflammation of testes caused by predominance of yellow bile and characterised by redness, intense heat, pain with burning sensation, intense thirst and fever of bilious nature.","waram al-khuṣyatayn ṣafrāwī/waram al-unthayayn ṣafrāwī waram al-khuṣyatayn ṣafrāwī/waram al-unthayayn ṣafrāwī waram al-khuṣyatayn ṣafrāwī/waram al-unthayayn ṣafrāwī waram al-khuṣyatayn ṣafrāwī/waram al-unthayayn ṣafrāwī ورم الخصيتين صفراوی/ورم الانثيين صفراوی ورم الخصيتين صفراوی/ورم الانثيين صفراوی ورم الخصيتين صفراوی/ورم الانثيين صفراوی ورم الخصيتين صفراوی/ورم الانثيين صفراوی bilious orchitis bilious orchitis bilious orchitis acute inflammation of testes caused by predominance of yellow bile and characterised by redness, intense heat, pain with burning sensation, intense thirst and fever of bilious nature.",waram al-khuṣyatayn ṣafrāwī/waram al-unthayayn ṣafrāwī
2320,2321,H-10.2,ورم الخصيتين بارد/ورم الانثيين بارد,Waram al-Khuṣyatayn Bārid/Waram al-Unthayayn Bārid,Chronic orchitis,Chronic inflammation of testes caused by predominance of phlegm or black bile and characterised by whitish or blackish swelling without pain or with low intesity of pain.,waram al-khuṣyatayn bārid/waram al-unthayayn bārid waram al-khuṣyatayn bārid/waram al-unthayayn bārid waram al-khuṣyatayn bārid/waram al-unthayayn bārid waram al-khuṣyatayn bārid/waram al-unthayayn bārid ورم الخصيتين بارد/ورم الانثيين بارد ورم الخصيتين بارد/ورم الانثيين بارد ورم الخصيتين بارد/ورم الانثيين بارد ورم الخصيتين بارد/ورم الانثيين بارد chronic orchitis chronic orchitis chronic orchitis chronic inflammation of testes caused by predominance of phlegm or black bile and characterised by whitish or blackish swelling without pain or with low intesity of pain.,waram al-khuṣyatayn bārid/waram al-unthayayn bārid
2321,2322,H-10.2.1,ورم الخصيتين بلغمی/ورم الانثيين بلغمی,Waram al-Khuṣyatayn Balghamī/Waram al-Unthayayn Balghamī,Phlegmatic orchitis,"Chronic inflammation of testes caused by predominance of phlegm and characterised by whitish swelling, pain of low intesity and absense of fever and thirst.","waram al-khuṣyatayn balghamī/waram al-unthayayn balghamī waram al-khuṣyatayn balghamī/waram al-unthayayn balghamī waram al-khuṣyatayn balghamī/waram al-unthayayn balghamī waram al-khuṣyatayn balghamī/waram al-unthayayn balghamī ورم الخصيتين بلغمی/ورم الانثيين بلغمی ورم الخصيتين بلغمی/ورم الانثيين بلغمی ورم الخصيتين بلغمی/ورم الانثيين بلغمی ورم الخصيتين بلغمی/ورم الانثيين بلغمی phlegmatic orchitis phlegmatic orchitis phlegmatic orchitis chronic inflammation of testes caused by predominance of phlegm and characterised by whitish swelling, pain of low intesity and absense of fever and thirst.",waram al-khuṣyatayn balghamī/waram al-unthayayn balghamī
2322,2323,H-10.2.2,ورم الخصيتين سوداوی/ورم الانثيين سوداوی,Waram al-Khuṣyatayn Sawdāwī/Waram al-Unthayayn Sawdāwī,Melancholic orchitis,Chronic inflammation of testes caused by predominance of black bile and characterised by presence of blackish hard swelling without pain.,waram al-khuṣyatayn sawdāwī/waram al-unthayayn sawdāwī waram al-khuṣyatayn sawdāwī/waram al-unthayayn sawdāwī waram al-khuṣyatayn sawdāwī/waram al-unthayayn sawdāwī waram al-khuṣyatayn sawdāwī/waram al-unthayayn sawdāwī ورم الخصيتين سوداوی/ورم الانثيين سوداوی ورم الخصيتين سوداوی/ورم الانثيين سوداوی ورم الخصيتين سوداوی/ورم الانثيين سوداوی ورم الخصيتين سوداوی/ورم الانثيين سوداوی melancholic orchitis melancholic orchitis melancholic orchitis chronic inflammation of testes caused by predominance of black bile and characterised by presence of blackish hard swelling without pain.,waram al-khuṣyatayn sawdāwī/waram al-unthayayn sawdāwī
2323,2324,H-10.3,ورم الخصيتين ریحی/ورم الانثيين ریحی,Waram al-Khuṣyatayn Rīḥī/Waram al-Unthayayn Rīḥī,Gaseous orchitis,Inflammation of testes due to accumulation of gases. This condition is characterised by whitish swelling and pain without heaviness.,waram al-khuṣyatayn rīḥī/waram al-unthayayn rīḥī waram al-khuṣyatayn rīḥī/waram al-unthayayn rīḥī waram al-khuṣyatayn rīḥī/waram al-unthayayn rīḥī waram al-khuṣyatayn rīḥī/waram al-unthayayn rīḥī ورم الخصيتين ریحی/ورم الانثيين ریحی ورم الخصيتين ریحی/ورم الانثيين ریحی ورم الخصيتين ریحی/ورم الانثيين ریحی ورم الخصيتين ریحی/ورم الانثيين ریحی gaseous orchitis gaseous orchitis gaseous orchitis inflammation of testes due to accumulation of gases. this condition is characterised by whitish swelling and pain without heaviness.,waram al-khuṣyatayn rīḥī/waram al-unthayayn rīḥī
2324,2325,H-28.1,قيلہ مائيہ غمدی,Qīla Mā’iyya Ghimdī,Scrotal hydrocele,A condition of collection of fluid in tunica vaginalis.,qīla mā’iyya ghimdī qīla mā’iyya ghimdī qīla mā’iyya ghimdī qīla mā’iyya ghimdī قيلہ مائيہ غمدی قيلہ مائيہ غمدی قيلہ مائيہ غمدی قيلہ مائيہ غمدی scrotal hydrocele scrotal hydrocele scrotal hydrocele a condition of collection of fluid in tunica vaginalis.,qīla mā’iyya ghimdī
2325,2326,H-28.2,قيلہ مائيہ خلقی,Qīla Mā’iyya Khilqī,Congenital hydrocele,A condition of collection of fluid in cavities of inguinal canal which shifts to abdominal cavity on putting pressure and reverts back when the pressure is released.,qīla mā’iyya khilqī qīla mā’iyya khilqī qīla mā’iyya khilqī qīla mā’iyya khilqī قيلہ مائيہ خلقی قيلہ مائيہ خلقی قيلہ مائيہ خلقی قيلہ مائيہ خلقی congenital hydrocele congenital hydrocele congenital hydrocele a condition of collection of fluid in cavities of inguinal canal which shifts to abdominal cavity on putting pressure and reverts back when the pressure is released.,qīla mā’iyya khilqī
2326,2327,H-28.3,قيلہ مائيہ کیسی,Qīla Mā’iyya Kīsī,Encysted hydrocele,A condition of collection of fluid in a separate sac instead of whole covering.,qīla mā’iyya kīsī qīla mā’iyya kīsī qīla mā’iyya kīsī qīla mā’iyya kīsī قيلہ مائيہ کیسی قيلہ مائيہ کیسی قيلہ مائيہ کیسی قيلہ مائيہ کیسی encysted hydrocele encysted hydrocele encysted hydrocele a condition of collection of fluid in a separate sac instead of whole covering.,qīla mā’iyya kīsī
2327,2328,I-1.1,سوء مزاج الرحم الحار,Sū’-i-Mizāj al-Raḥim al-Ḥārr,Hot morbid temperament of uterus,"A condition of derangement in the temperament of uterus due to predominance of heat. This condition is characterised by discharge of decreased quantity of reddish or foul-smelling blackish menstrual blood of thick consistency, palpitation, restlessness, dry lips and swift pulse.","sū’-i-mizāj al-raḥim al-ḥārr sū’-i-mizāj al-raḥim al-ḥārr sū’-i-mizāj al-raḥim al-ḥārr sū’-i-mizāj al-raḥim al-ḥārr سوء مزاج الرحم الحار سوء مزاج الرحم الحار سوء مزاج الرحم الحار سوء مزاج الرحم الحار hot morbid temperament of uterus hot morbid temperament of uterus hot morbid temperament of uterus a condition of derangement in the temperament of uterus due to predominance of heat. this condition is characterised by discharge of decreased quantity of reddish or foul-smelling blackish menstrual blood of thick consistency, palpitation, restlessness, dry lips and swift pulse.",sū’-i-mizāj al-raḥim al-ḥārr
2328,2329,I-1.2,سوء مزاج الرحم البارد,Sū’-i-Mizāj al-Raḥim al-Bārid,Cold morbid temperament of uterus,"A condition of derangement in the temperament of uterus due to predominance of cold. This condition is characterised by absence of menstruation or discharge of decreased quantity of light red menstrual blood of thin consistency, pale skin and slow pulse.","sū’-i-mizāj al-raḥim al-bārid sū’-i-mizāj al-raḥim al-bārid sū’-i-mizāj al-raḥim al-bārid sū’-i-mizāj al-raḥim al-bārid سوء مزاج الرحم البارد سوء مزاج الرحم البارد سوء مزاج الرحم البارد سوء مزاج الرحم البارد cold morbid temperament of uterus cold morbid temperament of uterus cold morbid temperament of uterus a condition of derangement in the temperament of uterus due to predominance of cold. this condition is characterised by absence of menstruation or discharge of decreased quantity of light red menstrual blood of thin consistency, pale skin and slow pulse.",sū’-i-mizāj al-raḥim al-bārid
2329,2330,I-1.3,سوء مزاج الرحم الرطب,Sū’-i-Mizāj al-Raḥim al-Raṭb,Moist morbid temperament of uterus,"A condition of derangement in the temperament of uterus due to predominance of moistness. This condition is characterised by discharge of excessive menstual blood of thin consistency, excessive discharge of secretions from uterus and abortion within the three months of conception.","sū’-i-mizāj al-raḥim al-raṭb sū’-i-mizāj al-raḥim al-raṭb sū’-i-mizāj al-raḥim al-raṭb sū’-i-mizāj al-raḥim al-raṭb سوء مزاج الرحم الرطب سوء مزاج الرحم الرطب سوء مزاج الرحم الرطب سوء مزاج الرحم الرطب moist morbid temperament of uterus moist morbid temperament of uterus moist morbid temperament of uterus a condition of derangement in the temperament of uterus due to predominance of moistness. this condition is characterised by discharge of excessive menstual blood of thin consistency, excessive discharge of secretions from uterus and abortion within the three months of conception.",sū’-i-mizāj al-raḥim al-raṭb
2330,2331,I-1.4,سوء مزاج الرحم الیابس,Sū’-i-Mizāj al-Raḥim al-Yābis,Dry morbid temperament of uterus,"A condition of derangement in the temperament of uterus due to predominance of dryness. This condition is characterised by discharge of decresed quantity of menstrual blood, dryness of cervix and thin body.","sū’-i-mizāj al-raḥim al-yābis sū’-i-mizāj al-raḥim al-yābis sū’-i-mizāj al-raḥim al-yābis sū’-i-mizāj al-raḥim al-yābis سوء مزاج الرحم الیابس سوء مزاج الرحم الیابس سوء مزاج الرحم الیابس سوء مزاج الرحم الیابس dry morbid temperament of uterus dry morbid temperament of uterus dry morbid temperament of uterus a condition of derangement in the temperament of uterus due to predominance of dryness. this condition is characterised by discharge of decresed quantity of menstrual blood, dryness of cervix and thin body.",sū’-i-mizāj al-raḥim al-yābis
2331,2332,I-18.1,تصغر خصية الرحم خلقی,Taṣaghghur Khuṣya al-Raḥim Khilqī,Congenital atrophy of ovaries,A condition of reduction in the ovarian size caused by factors arising during the antenatal period. This condition is characterised by primary amenorrhoea.,taṣaghghur khuṣya al-raḥim khilqī taṣaghghur khuṣya al-raḥim khilqī taṣaghghur khuṣya al-raḥim khilqī taṣaghghur khuṣya al-raḥim khilqī تصغر خصية الرحم خلقی تصغر خصية الرحم خلقی تصغر خصية الرحم خلقی تصغر خصية الرحم خلقی congenital atrophy of ovaries congenital atrophy of ovaries congenital atrophy of ovaries a condition of reduction in the ovarian size caused by factors arising during the antenatal period. this condition is characterised by primary amenorrhoea.,taṣaghghur khuṣya al-raḥim khilqī
2332,2333,I-18.2,تصغر خصية الرحم اکتسابی,Taṣaghghur Khuṣya al-Raḥim Iktisābī,Acquired atrophy of ovaries,A condition of reduction in the ovarian size  caused by factors arising during after birth. Its is characterized by irregular menstruation leading to amenorrhoea.,taṣaghghur khuṣya al-raḥim iktisābī taṣaghghur khuṣya al-raḥim iktisābī taṣaghghur khuṣya al-raḥim iktisābī taṣaghghur khuṣya al-raḥim iktisābī تصغر خصية الرحم اکتسابی تصغر خصية الرحم اکتسابی تصغر خصية الرحم اکتسابی تصغر خصية الرحم اکتسابی acquired atrophy of ovaries acquired atrophy of ovaries acquired atrophy of ovaries a condition of reduction in the ovarian size caused by factors arising during after birth. its is characterized by irregular menstruation leading to amenorrhoea.,taṣaghghur khuṣya al-raḥim iktisābī
2333,2334,I-19.1,التهاب القاذف حاد,Iltihāb al-Qādhif Ḥādd,Acute salpingitis,"Acute inflammation of fallopian tubes which usually extends up to the ovaries. It is caused by puerperal infection, syphylis, gonorrhoea, etc. and characterised by severe pain in pelvis and back aggravating during movement, high grade fever, swift pulse, etc.","iltihāb al-qādhif ḥādd iltihāb al-qādhif ḥādd iltihāb al-qādhif ḥādd iltihāb al-qādhif ḥādd التهاب القاذف حاد التهاب القاذف حاد التهاب القاذف حاد التهاب القاذف حاد acute salpingitis acute salpingitis acute salpingitis acute inflammation of fallopian tubes which usually extends up to the ovaries. it is caused by puerperal infection, syphylis, gonorrhoea, etc. and characterised by severe pain in pelvis and back aggravating during movement, high grade fever, swift pulse, etc.",iltihāb al-qādhif ḥādd
2334,2335,I-19.2,التهاب القاذف مزمن,Iltihāb al-Qādhif Muzmin,Chronic salpingitis,"Inflammation of fallopian tubes which usually extends up to the ovaries. It is characterised by dull pain in pelvis, backache, irregular menses, etc.","iltihāb al-qādhif muzmin iltihāb al-qādhif muzmin iltihāb al-qādhif muzmin iltihāb al-qādhif muzmin التهاب القاذف مزمن التهاب القاذف مزمن التهاب القاذف مزمن التهاب القاذف مزمن chronic salpingitis chronic salpingitis chronic salpingitis inflammation of fallopian tubes which usually extends up to the ovaries. it is characterised by dull pain in pelvis, backache, irregular menses, etc.",iltihāb al-qādhif muzmin
2335,2336,I-37.1,ورم ثدي حار,Waram-i-Thadī Ḥārr,Acute mastitis,"It is the inflammation of breast caused by predominance of sanguine, coagulation of blood and milk within the breast and trauma. It is characterised by swollen breast, pain, redness, fever, etc.","waram-i-thadī ḥārr waram-i-thadī ḥārr waram-i-thadī ḥārr waram-i-thadī ḥārr ورم ثدي حار ورم ثدي حار ورم ثدي حار ورم ثدي حار acute mastitis acute mastitis acute mastitis it is the inflammation of breast caused by predominance of sanguine, coagulation of blood and milk within the breast and trauma. it is characterised by swollen breast, pain, redness, fever, etc.",waram-i-thadī ḥārr
2336,2337,I-37.2,ورم ثدی بارد,Waram-i-Thadī Bārid,Chronic mastitis,It is the chronic inflammation of breast characterised by lesser degree of pain as compared to its acute type and absence of redness and fever.,waram-i-thadī bārid waram-i-thadī bārid waram-i-thadī bārid waram-i-thadī bārid ورم ثدی بارد ورم ثدی بارد ورم ثدی بارد ورم ثدی بارد chronic mastitis chronic mastitis chronic mastitis it is the chronic inflammation of breast characterised by lesser degree of pain as compared to its acute type and absence of redness and fever.,waram-i-thadī bārid
2337,2338,I-37.3,ورم ثدی صلب,Waram-i-Thadī Ṣulb,Hard mastitis,It is the chronic inflammation of breast caused by predominance of black bile characterised by hardeness and slight blackish discolouration of breast.,waram-i-thadī ṣulb waram-i-thadī ṣulb waram-i-thadī ṣulb waram-i-thadī ṣulb ورم ثدی صلب ورم ثدی صلب ورم ثدی صلب ورم ثدی صلب hard mastitis hard mastitis hard mastitis it is the chronic inflammation of breast caused by predominance of black bile characterised by hardeness and slight blackish discolouration of breast.,waram-i-thadī ṣulb
2338,2339,I-57.1,ورم رحم حار,Waram-i-Raḥim Ḥārr,Acute metritis,"A condition of inflammation of uterus affecting its different parts due to pouring of sanguineous or bilious matter on uterus. This condition is characterised by high grade fever, pain in pubic region, backache, pulsating pain in anterior fontanelle, excessive thirst, bitter taste, rapid respiration and swift rapid pulse.","waram-i-raḥim ḥārr waram-i-raḥim ḥārr waram-i-raḥim ḥārr waram-i-raḥim ḥārr ورم رحم حار ورم رحم حار ورم رحم حار ورم رحم حار acute metritis acute metritis acute metritis a condition of inflammation of uterus affecting its different parts due to pouring of sanguineous or bilious matter on uterus. this condition is characterised by high grade fever, pain in pubic region, backache, pulsating pain in anterior fontanelle, excessive thirst, bitter taste, rapid respiration and swift rapid pulse.",waram-i-raḥim ḥārr
2339,2340,I-57.2,ورم رحم بلغمی,Waram-i-Raḥim Balghamī,Phlegmatic metritis,"A condition of inflammation of uterus affecting its different parts due to predominance of phlegm. This condition is characterised by low grade fever, dull pain and heaviness at the site of uterus and puffiness on face, hand and leg.","waram-i-raḥim balghamī waram-i-raḥim balghamī waram-i-raḥim balghamī waram-i-raḥim balghamī ورم رحم بلغمی ورم رحم بلغمی ورم رحم بلغمی ورم رحم بلغمی phlegmatic metritis phlegmatic metritis phlegmatic metritis a condition of inflammation of uterus affecting its different parts due to predominance of phlegm. this condition is characterised by low grade fever, dull pain and heaviness at the site of uterus and puffiness on face, hand and leg.",waram-i-raḥim balghamī
2340,2341,I-57.3,ورم رحم صلب,Waram-i-Raḥim Ṣulb,Hard metritis,"A condition of inflammation of uterus affecting its different parts due to predominance of black bile. This condition is characterised by low intensity pain accompanied with hardness and heaviness in suprapubic region, difficulty in urination and defaecation and general weakness.","waram-i-raḥim ṣulb waram-i-raḥim ṣulb waram-i-raḥim ṣulb waram-i-raḥim ṣulb ورم رحم صلب ورم رحم صلب ورم رحم صلب ورم رحم صلب hard metritis hard metritis hard metritis a condition of inflammation of uterus affecting its different parts due to predominance of black bile. this condition is characterised by low intensity pain accompanied with hardness and heaviness in suprapubic region, difficulty in urination and defaecation and general weakness.",waram-i-raḥim ṣulb
2341,2342,I-60,دبيلة الرحم,Dubayla al-Raḥim,Uterine abscess,"A condition of formation and collection of purulent matter inside the uterus. This condition is characterized by throbbing pain, fever and tenderness in the lower abdomen.","dubayla al-raḥim dubayla al-raḥim dubayla al-raḥim dubayla al-raḥim دبيلة الرحم دبيلة الرحم دبيلة الرحم دبيلة الرحم uterine abscess uterine abscess uterine abscess a condition of formation and collection of purulent matter inside the uterus. this condition is characterized by throbbing pain, fever and tenderness in the lower abdomen.",dubayla al-raḥim
2342,2343,K-5.1.1,غب خالصہ,Ghibb Khāliṣa,Pure tertian fever,"A condition of abnormal elevation of body temperature as a result of putrefaction of pure yellow bile, outside the vessels. This condition is characterised by seven episodes of high grade fever lasting for 4-12 hours.","ghibb khāliṣa ghibb khāliṣa ghibb khāliṣa ghibb khāliṣa غب خالصہ غب خالصہ غب خالصہ غب خالصہ pure tertian fever pure tertian fever pure tertian fever a condition of abnormal elevation of body temperature as a result of putrefaction of pure yellow bile, outside the vessels. this condition is characterised by seven episodes of high grade fever lasting for 4-12 hours.",ghibb khāliṣa
2343,2344,K-5.1.2,غب غیر خالصہ,Ghibb Ghayr Khāliṣa,False tertian fever,"A condition of abnormal elevation of body temperature as a result of putrefaction of yellow bile mixed with phlegm, outside the vessels. This condition is characterised by episodes of fever lasting for more than 12 hours, severe heaviness in the head.","ghibb ghayr khāliṣa ghibb ghayr khāliṣa ghibb ghayr khāliṣa ghibb ghayr khāliṣa غب غیر خالصہ غب غیر خالصہ غب غیر خالصہ غب غیر خالصہ false tertian fever false tertian fever false tertian fever a condition of abnormal elevation of body temperature as a result of putrefaction of yellow bile mixed with phlegm, outside the vessels. this condition is characterised by episodes of fever lasting for more than 12 hours, severe heaviness in the head.",ghibb ghayr khāliṣa
2344,2345,K-8.2,حمیٰ الربع دائرہ,Ḥummā al-Rib‘ Dā’ira,Intermittent quartan fever,"A condition of abnormal elevation of body temperature as a result of putrefaction of normal or abnormal black bile outside the vessels. This condition is characterised by intermittent fever with episodes of fever occurring every fouth day along with the history of previous fever of long duration, diseases of spleen, intake of black bile producing diets, etc.","ḥummā al-rib‘ dā’ira ḥummā al-rib‘ dā’ira ḥummā al-rib‘ dā’ira ḥummā al-rib‘ dā’ira حمیٰ الربع دائرہ حمیٰ الربع دائرہ حمیٰ الربع دائرہ حمیٰ الربع دائرہ intermittent quartan fever intermittent quartan fever intermittent quartan fever a condition of abnormal elevation of body temperature as a result of putrefaction of normal or abnormal black bile outside the vessels. this condition is characterised by intermittent fever with episodes of fever occurring every fouth day along with the history of previous fever of long duration, diseases of spleen, intake of black bile producing diets, etc.",ḥummā al-rib‘ dā’ira
2345,2346,K-8.3,ربع دموی,Rib‘ Damawī,Sanguineous quartan fever,"A condition of abnormal elevation of body temperature occurring after sanguineous fever as a result of putrefaction of abnormal black bile produced due to combustion of sanguine. This condition is initially characterised by features of sanguineous fever followed by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, reddish skin colour, heavniess in the body, sweet taste in mouth and reddish urine.","rib‘ damawī rib‘ damawī rib‘ damawī rib‘ damawī ربع دموی ربع دموی ربع دموی ربع دموی sanguineous quartan fever sanguineous quartan fever sanguineous quartan fever a condition of abnormal elevation of body temperature occurring after sanguineous fever as a result of putrefaction of abnormal black bile produced due to combustion of sanguine. this condition is initially characterised by features of sanguineous fever followed by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, reddish skin colour, heavniess in the body, sweet taste in mouth and reddish urine.",rib‘ damawī
2346,2347,K-8.4,ربع صفراوی,Rib‘ Ṣafrāwī,Bilious quartan fever,"A condition of abnormal elevation of body temperature occurring after bilious fever as a result of putrefaction of abnormal black bile produced due to combustion of yellow bile. This condition is characterised by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, rigors and chills, biiter taste in mouth, excessive thirst and perspiration and swift and rapid pulse.","rib‘ ṣafrāwī rib‘ ṣafrāwī rib‘ ṣafrāwī rib‘ ṣafrāwī ربع صفراوی ربع صفراوی ربع صفراوی ربع صفراوی bilious quartan fever bilious quartan fever bilious quartan fever a condition of abnormal elevation of body temperature occurring after bilious fever as a result of putrefaction of abnormal black bile produced due to combustion of yellow bile. this condition is characterised by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, rigors and chills, biiter taste in mouth, excessive thirst and perspiration and swift and rapid pulse.",rib‘ ṣafrāwī
2347,2348,K-8.5,ربع بلغمی,Rib‘ Balghamī,Phlegmatic quartan fever,"A condition of abnormal elevation of body temperature occurring after phlegmatic fever as a result of putrefaction of abnormal black bile produced due to combustion of phlegm. This condition is characterised by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, decreased thirst, laziness, delayed perspiration, large sluggish pulse and urine of thick consistency.","rib‘ balghamī rib‘ balghamī rib‘ balghamī rib‘ balghamī ربع بلغمی ربع بلغمی ربع بلغمی ربع بلغمی phlegmatic quartan fever phlegmatic quartan fever phlegmatic quartan fever a condition of abnormal elevation of body temperature occurring after phlegmatic fever as a result of putrefaction of abnormal black bile produced due to combustion of phlegm. this condition is characterised by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, decreased thirst, laziness, delayed perspiration, large sluggish pulse and urine of thick consistency.",rib‘ balghamī
2348,2349,K-8.6,ربع سوداوی,Rib‘ Sawdāwī,Melancholic quartan fever,"A condition of abnormal elevation of body temperature as a result of putrefaction of abnormal black bile produced due to combustion of normal black bile. This condition is characterised by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, abnormal thoughts, suspicion and nightmares.","rib‘ sawdāwī rib‘ sawdāwī rib‘ sawdāwī rib‘ sawdāwī ربع سوداوی ربع سوداوی ربع سوداوی ربع سوداوی melancholic quartan fever melancholic quartan fever melancholic quartan fever a condition of abnormal elevation of body temperature as a result of putrefaction of abnormal black bile produced due to combustion of normal black bile. this condition is characterised by intermittent fever with episodes of fever occurring every fouth day or continuous fever tending to be higher every fourth day, abnormal thoughts, suspicion and nightmares.",rib‘ sawdāwī
2349,2350,K-13.2.1,حمیٰ مطبقہ عفونيہ متزا  ئدہ,Ḥummā Muṭbiqa ‘Ufūniyya Mutazā’ida,Aumastica sinoco fever,"A condition of abnormal elevation of body temperature as a result of predominance and putrefaction of sanguine. This condition is characterised by the gradually increasing continuous fever, excessive restlessness, breathlessness and turbid foul smelling urine.","ḥummā muṭbiqa ‘ufūniyya mutazā’ida ḥummā muṭbiqa ‘ufūniyya mutazā’ida ḥummā muṭbiqa ‘ufūniyya mutazā’ida ḥummā muṭbiqa ‘ufūniyya mutazā’ida حمیٰ مطبقہ عفونيہ متزا ئدہ حمیٰ مطبقہ عفونيہ متزا ئدہ حمیٰ مطبقہ عفونيہ متزا ئدہ حمیٰ مطبقہ عفونيہ متزا ئدہ aumastica sinoco fever aumastica sinoco fever aumastica sinoco fever a condition of abnormal elevation of body temperature as a result of predominance and putrefaction of sanguine. this condition is characterised by the gradually increasing continuous fever, excessive restlessness, breathlessness and turbid foul smelling urine.",ḥummā muṭbiqa ‘ufūniyya mutazā’ida
2350,2351,K-13.2.2,حمیٰ مطبقہ عفونيہ واقفہ,Ḥummā Muṭbiqa ‘Ufūniyya Wāqifa,Homotena sinoco fever,"A condition of abnormal elevation of body temperature as a result of predominance and putrefaction of sanguine. This condition is characterised by the stationary continuous fever, excessive restlessness, breathlessness and turbid foul smelling urine.","ḥummā muṭbiqa ‘ufūniyya wāqifa ḥummā muṭbiqa ‘ufūniyya wāqifa ḥummā muṭbiqa ‘ufūniyya wāqifa ḥummā muṭbiqa ‘ufūniyya wāqifa حمیٰ مطبقہ عفونيہ واقفہ حمیٰ مطبقہ عفونيہ واقفہ حمیٰ مطبقہ عفونيہ واقفہ حمیٰ مطبقہ عفونيہ واقفہ homotena sinoco fever homotena sinoco fever homotena sinoco fever a condition of abnormal elevation of body temperature as a result of predominance and putrefaction of sanguine. this condition is characterised by the stationary continuous fever, excessive restlessness, breathlessness and turbid foul smelling urine.",ḥummā muṭbiqa ‘ufūniyya wāqifa
2351,2352,K-13.2.3,حمیٰ مطبقہ عفونيہ متناقصہ,Ḥummā Muṭbiqa ‘Ufūniyya Mutanāqiṣa,Periaumastica sinoco fever,"A condition of abnormal elevation of body temperature as a result of predominance and putrefaction of sanguine. This condition is characterised by the gradually decreasing continuous fever, excessive restlessness, breathlessness and turbid foul smelling urine..","ḥummā muṭbiqa ‘ufūniyya mutanāqiṣa ḥummā muṭbiqa ‘ufūniyya mutanāqiṣa ḥummā muṭbiqa ‘ufūniyya mutanāqiṣa ḥummā muṭbiqa ‘ufūniyya mutanāqiṣa حمیٰ مطبقہ عفونيہ متناقصہ حمیٰ مطبقہ عفونيہ متناقصہ حمیٰ مطبقہ عفونيہ متناقصہ حمیٰ مطبقہ عفونيہ متناقصہ periaumastica sinoco fever periaumastica sinoco fever periaumastica sinoco fever a condition of abnormal elevation of body temperature as a result of predominance and putrefaction of sanguine. this condition is characterised by the gradually decreasing continuous fever, excessive restlessness, breathlessness and turbid foul smelling urine..",ḥummā muṭbiqa ‘ufūniyya mutanāqiṣa
