Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name English,Name English Under Index,Primary Index Related,query,normalized_term
252,250,AA-1,kRucCrasAdhyavAtavyAdhiH,kr̥cchrasādhyavātavyādhiḥ,कृच्छ्रसाध्यवातव्याधिः,-,-,-,not easily curable vāta disorders,-,-,kr̥cchrasādhyavātavyādhiḥ kr̥cchrasādhyavātavyādhiḥ kr̥cchrasādhyavātavyādhiḥ kr̥cchrasādhyavātavyādhiḥ kruccrasadhyavatavyadhih kruccrasadhyavatavyadhih kruccrasadhyavatavyadhih not easily curable vāta disorders not easily curable vāta disorders कृच्छ्रसाध्यवातव्याधिः,kr̥cchrasādhyavātavyādhiḥ
253,251,AA-2,asAdhyavAtavyAdhiH,asādhyavātavyādhiḥ,असाध्यवातव्याधिः,-,-,-,irremediable vāta disorders,-,-,asādhyavātavyādhiḥ asādhyavātavyādhiḥ asādhyavātavyādhiḥ asādhyavātavyādhiḥ asadhyavatavyadhih asadhyavatavyadhih asadhyavatavyadhih irremediable vāta disorders irremediable vāta disorders असाध्यवातव्याधिः,asādhyavātavyādhiḥ
254,252,AA-3,vAtavyAdhi-upadravaH,vātavyādhi-upadravaḥ,वातव्याधि-उपद्रवः,-,"the disorder is characterized by visarpaḥ [spreading cellulitis/erysipelas], dāhaḥ [burning sensation], ruk [pain], saṅgaḥ [obstruction/adherence], mūrchā [syncope/attacks of swooning], aruciḥ [tastelessness], agnimārdavam [diminution of agni (digestive power)], kṣīṇamāṁsam [depletion/diminution of māṁsa], kṣīṇabalam [loss of strength], pakṣavadhādayaḥ [paralysis etc]",-,complications of vāta disorders,-,-,"vātavyādhi-upadravaḥ vātavyādhi-upadravaḥ vātavyādhi-upadravaḥ vātavyādhi-upadravaḥ vatavyadhi-upadravah vatavyadhi-upadravah vatavyadhi-upadravah complications of vāta disorders complications of vāta disorders the disorder is characterized by visarpaḥ [spreading cellulitis/erysipelas], dāhaḥ [burning sensation], ruk [pain], saṅgaḥ [obstruction/adherence], mūrchā [syncope/attacks of swooning], aruciḥ [tastelessness], agnimārdavam [diminution of agni (digestive power)], kṣīṇamāṁsam [depletion/diminution of māṁsa], kṣīṇabalam [loss of strength], pakṣavadhādayaḥ [paralysis etc] वातव्याधि-उपद्रवः",vātavyādhi-upadravaḥ
255,253,AA-4,vAtavyAdhi^^ariShTa,vātavyādhi^^ariṣṭa,वातव्याधि^^अरिष्ट,-,"the disorder is characterized by śūnam [oedema], suptatvacam [numbness in skin], bhagnam [fractures], kampanipīḍitam [afflicted with trembling], ādhmānanipīḍitam [afflicted with abdominal distention], rujārtimantam [severe pain]",-,fatal signs of vāta disorders,-,-,"vātavyādhi^^ariṣṭa vātavyādhi^^ariṣṭa vātavyādhi^^ariṣṭa vātavyādhi^^ariṣṭa vatavyadhi^^arishta vatavyadhi^^arishta vatavyadhi^^arishta fatal signs of vāta disorders fatal signs of vāta disorders the disorder is characterized by śūnam [oedema], suptatvacam [numbness in skin], bhagnam [fractures], kampanipīḍitam [afflicted with trembling], ādhmānanipīḍitam [afflicted with abdominal distention], rujārtimantam [severe pain] वातव्याधि^^अरिष्ट",vātavyādhi^^ariṣṭa
256,254,AB,pittavikAraH,pittavikāraḥ,पित्तविकारः,-,-,-,pitta disorders,-,-,pittavikāraḥ pittavikāraḥ pittavikāraḥ pittavikāraḥ pittavikarah pittavikarah pittavikarah pitta disorders pitta disorders पित्तविकारः,pittavikāraḥ
257,255,ABA,doShAvasthA (pitta),dōṣāvasthā (pitta),दोषावस्था (पित्त),-,-,-,morbid state of dōṣa,-,-,dōṣāvasthā (pitta) dōṣāvasthā (pitta) dōṣāvasthā (pitta) dōṣāvasthā (pitta) doshavastha (pitta) doshavastha (pitta) doshavastha (pitta) morbid state of dōṣa morbid state of dōṣa दोषावस्था (पित्त),dōṣāvasthā (pitta)
258,256,SR16(ABA-1),pittasa~jcayaH,(a) pittasañcayaḥ,पित्तसञ्चयः,-,It is characterized by yellowish discoloration of body and mild raised body temperature. This may be explained by accumulation of pittadosha at the designated site.,-,Accumulation of pitta pattern (TM2),-,Primary,(a) pittasañcayaḥ (a) pittasañcayaḥ (a) pittasañcayaḥ (a) pittasañcayaḥ pittasa~jcayah pittasa~jcayah pittasa~jcayah accumulation of pitta pattern (tm2) accumulation of pitta pattern (tm2) primary primary it is characterized by yellowish discoloration of body and mild raised body temperature. this may be explained by accumulation of pittadosha at the designated site. पित्तसञ्चयः,(a) pittasañcayaḥ
259,257,SR17(ABA-2),pittavRuddhiH,(a) pittavṛddhiḥ,पित्तवृद्धिः,-,"It is characterized by yellowish discoloration of the body, increased body heat, desire for cold, reduced sleep, loss of consciousness, weakness of body and sense organs, yellowish discoloration of stool, urine and eyes. This may be explained by marked increase of pittadosha functions and consequent physiological and pathological ramifications.",-,Aggravation of pitta pattern (TM2),Increased pitta (TM2),Primary,"(a) pittavṛddhiḥ (a) pittavṛddhiḥ (a) pittavṛddhiḥ (a) pittavṛddhiḥ pittavruddhih pittavruddhih pittavruddhih increased pitta (tm2) increased pitta (tm2) increased pitta (tm2) aggravation of pitta pattern (tm2) aggravation of pitta pattern (tm2) primary primary it is characterized by yellowish discoloration of the body, increased body heat, desire for cold, reduced sleep, loss of consciousness, weakness of body and sense organs, yellowish discoloration of stool, urine and eyes. this may be explained by marked increase of pittadosha functions and consequent physiological and pathological ramifications. पित्तवृद्धिः",(a) pittavṛddhiḥ
260,258,SR15(ABA-2.1),pittaprakopaH,(a) pittaprakopaḥ,पित्तप्रकोपः,-,"It is characterized by sour eructation, excessive thirst and burning sensation. This may be explained by aggravation of pittadosha at its designated site and preparing to cause certain morbidity.",-,Vitiation of pitta pattern (TM2),-,Primary,"(a) pittaprakopaḥ (a) pittaprakopaḥ (a) pittaprakopaḥ (a) pittaprakopaḥ pittaprakopah pittaprakopah pittaprakopah vitiation of pitta pattern (tm2) vitiation of pitta pattern (tm2) primary primary it is characterized by sour eructation, excessive thirst and burning sensation. this may be explained by aggravation of pittadosha at its designated site and preparing to cause certain morbidity. पित्तप्रकोपः",(a) pittaprakopaḥ
261,259,SR18(ABA-3),pittaprasaraH,(a) pittaprasaraḥ,पित्तप्रसरः,-,"It is characterized by localised or whole body burning sensation, feeling of smoky eructation. This may be explained by spreading of pittadosha from place of accumulation to other parts or entire body.",-,Spreading of pitta pattern (TM2),-,Primary,"(a) pittaprasaraḥ (a) pittaprasaraḥ (a) pittaprasaraḥ (a) pittaprasaraḥ pittaprasarah pittaprasarah pittaprasarah spreading of pitta pattern (tm2) spreading of pitta pattern (tm2) primary primary it is characterized by localised or whole body burning sensation, feeling of smoky eructation. this may be explained by spreading of pittadosha from place of accumulation to other parts or entire body. पित्तप्रसरः",(a) pittaprasaraḥ
262,260,SR19(ABA-4),pittakShayaH,pittakṣayaḥ,पित्तक्षयः,-,"It is characterized by reduced body temperature and reduced digestive power, reduced luste of the body. This may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications.",-,Depletion of pitta pattern (TM2),-,Primary,"pittakṣayaḥ pittakṣayaḥ pittakṣayaḥ pittakṣayaḥ pittakshayah pittakshayah pittakshayah depletion of pitta pattern (tm2) depletion of pitta pattern (tm2) primary primary it is characterized by reduced body temperature and reduced digestive power, reduced luste of the body. this may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications. पित्तक्षयः",pittakṣayaḥ
263,261,ABB,nAnAtmajapittavikAraH,nānātmajapittavikāraḥ,नानात्मजपित्तविकारः,-,-,-,diseases due only to vitiated pitta,-,-,nānātmajapittavikāraḥ nānātmajapittavikāraḥ nānātmajapittavikāraḥ nānātmajapittavikāraḥ nanatmajapittavikarah nanatmajapittavikarah nanatmajapittavikarah diseases due only to vitiated pitta diseases due only to vitiated pitta नानात्मजपित्तविकारः,nānātmajapittavikāraḥ
264,262,ABB-1(SK7Y),akShipAkaH (kEvalapitta),(a) akṣipākaḥ,अक्षिपाकः (केवलपित्त),-,-,-,Bloodshot eye disorder (TM2) ⇒,-,Index,(a) akṣipākaḥ (a) akṣipākaḥ (a) akṣipākaḥ (a) akṣipākaḥ akshipakah (kevalapitta) akshipakah (kevalapitta) akshipakah (kevalapitta) bloodshot eye disorder (tm2) ⇒ bloodshot eye disorder (tm2) ⇒ index index अक्षिपाकः (केवलपित्त),(a) akṣipākaḥ
265,263,SN44(ABB-2),a~ggagandhaH (kEvalapitta),(a) aṅga-durgandhaḥ,अङ्गगन्धः (केवलपित्त),-,"It is characterised by foul smelling sweat from palm, sole, axilla and groin region. This may be explained by: (a) Predominance of vitiated pitta affecting the skin.",-,Foul body smelling disorder (TM2),-,Primary,"(a) aṅga-durgandhaḥ (a) aṅga-durgandhaḥ (a) aṅga-durgandhaḥ (a) aṅga-durgandhaḥ a~ggagandhah (kevalapitta) a~ggagandhah (kevalapitta) a~ggagandhah (kevalapitta) foul body smelling disorder (tm2) foul body smelling disorder (tm2) primary primary it is characterised by foul smelling sweat from palm, sole, axilla and groin region. this may be explained by: (a) predominance of vitiated pitta affecting the skin. अङ्गगन्धः (केवलपित्त)",(a) aṅga-durgandhaḥ
