Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
8D61.1,Secondary intracranial hypotension,,,,,Secondary intracranial hypotension; Intracranial hypotension due to cerebrospinal fluid fistula; Intracranial hypotension due to cerebrospinal fluid rhinorrhoea; Intracranial hypotension due to cerebrospinal fluid otorrhea
8D62,Cerebrospinal fluid rhinorrhoea,,A leak of cerebrospinal fluid (CSF) through the nose.,,,Cerebrospinal fluid rhinorrhoea; Cerebrospinal fluid rhinorrhoea due to a pituitary tumour; Cerebrospinal fluid rhinorrhoea due to other tumours invading bone; Cerebrospinal fluid rhinorrhoea due to empty Sella syndrome; Cerebrospinal fluid rhinorrhoea due to hydrocephalus
8D63,Cerebrospinal fluid otorrhoea,,A leak of cerebrospinal fluid (CSF) through the ear.,,,Cerebrospinal fluid otorrhoea; Cerebrospinal fluid otorrhoea due to congenital malformation of labyrinth; Cerebrospinal fluid otorrhoea due to an encephalocoele; Cerebrospinal fluid otorrhoea due to a dural defect; Cerebrospinal fluid otorrhoea due to hydrocephalus giant arachnoid granulations; Cerebrospinal fluid otorrhoea due to infectious process of the middle ear or mastoid
8D64,Hydrocephalus,,"Hydrocephalus is an abnormal buildup of cerebrospinal fluid (CSF) deep within the brain. This excess fluid causes the ventricles (cavities) within the brain to widen, putting harmful pressure on the brain's tissues. Hydrocephalus may be present at or shortly after birth or may result over time from damage or injury.",,,
8D64.0,Communicating hydrocephalus,,"Communicating hydrocephalus, also known as non-obstructive hydrocephalus, is a disorder characterised by impaired cerebrospinal fluid reabsorption in the absence of any CSF-flow obstruction between the ventricles and subarachnoid space.",,,
8D64.00,Increased cerebrospinal fluid production,,Is a type of communicating hydrocephalus caused by increased CSF production.,,,Increased cerebrospinal fluid production; Increased cerebrospinal fluid production due to choroid plexus papilloma; Increased cerebrospinal fluid production due to choroid plexus carcinoma; Increased cerebrospinal fluid production due to choroid plexus hypertrophy
8D64.01,Congenital agenesis of arachnoid villi,,,,,Congenital agenesis of arachnoid villi
8D64.02,Post haemorrhagic hydrocephalus,,,,,Post haemorrhagic hydrocephalus; Subarachnoid haemorrhage-related hydrocephalus
8D64.03,Post traumatic hydrocephalus,,,,,Post traumatic hydrocephalus
8D64.04,Normal-pressure hydrocephalus,,"A clinical syndrome mainly comprising gait disturbance, dementia, and urinary incontinence, and associated with dilatation of the ventricular system of the brain. Most of the times demonstrating normal cerebrospinal fluid (CSF) pressure at lumbar puncture.",,,Normal-pressure hydrocephalus; NPH - [normal pressure hydrocephalus]; normal pressure hydrocephalus NOS; normal pressure hydrocephaly; Idiopathic normal-pressure hydrocephalus; Secondary normal-pressure hydrocephalus
8D64.1,Non-communicating hydrocephalus,,It represents a form of hydrocephalus where there is an excessive accumulation of CSF within the ventricles caused by blockage of its pathway and due to several causes.,,,
8D64.10,Hydrocephalus due to structural malformations,,Ventricular enlargement due to an accumulation of cerebrospinal fluid secondary to obstruction caused by a structural abnormality such as Chiari malformations or aqueductal stenosis.,,,Hydrocephalus due to structural malformations; Hydrocephalus due to aqueduct stenosis; Hydrocephalus due to Arnold-Chiari malformation
8D64.2,Ex-vacuo hydrocephalus,,"Hydrocephalus ex-vacuo occurs when there is damage to the brain caused by stroke, injury, or radiation, and there may be an actual shrinkage of brain substance. Although there is more CSF than usual, the CSF pressure itself is normal in hydrocephalus ex-vacuo.",,,Ex-vacuo hydrocephalus; Ex-vacuo hydrocephalus due to degeneration; Ex-vacuo hydrocephalus due to vascular disease; Ex-vacuo hydrocephalus due to injuries to the brain; Ex-vacuo hydrocephalus due to inflammatory disease; Ex-vacuo hydrocephalus due to infection; Ex-vacuo hydrocephalus due to radiation therapy; Ex-vacuo hydrocephalus due to ageing
