code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
SP9A,General debility disorder (TM2),,,,,General debility disorder (TM2); (a) daurbalyam (b) Tēka vaṉmai kuṟaivu (c) Ḍu‘f-i-‘Ām,chapter26
SQ00,Delirium disorder (TM2),,,,,Delirium disorder (TM2); (a) atipralāpaḥ (b) Caṉṉi nōy (c) Hadhayān; (a) pralāpakaḥ; Delirium disorder with dysfunction of panchendriyam due to Aiyam (TM2); (b) Apiniyāca caṉṉi; Delirium disorder due to Aẕal aggravation (TM2); (b) Āvuru pittam,chapter26
SQ01,Hallucination disorder (TM2),,,,,Hallucination disorder (TM2); (a) buddhisaṁmōhaḥ (b) Piramai (c) khiyAlAt-e bAteleh; Visual hallucinations disorder (TM2); (c) Takhayyulāt; Hallucination disorder due to aggravated Aẕal (TM2); (b) Mārkka pittam; (b) Vikāra pittam,chapter26
SQ02,Hysteria disorder (TM2),,,,,Hysteria disorder (TM2); (b) Cūtikāvātam (c) Ikhtināq al-Raḥim,chapter26
SQ03,Insanity disorder (TM2),,,,,Insanity disorder (TM2); (a) unmādaḥ (b) Uṉmatam (c) Junūn; (b) Veṟi (c) Waswās; (c) waswAs-e sowdAwi; Lunacy disorder (TM2); (b) Kirikai,chapter26
SQ04,Depressive disorder (TM2),,,,,"Depressive disorder (TM2); (a) kaphaja-unmādaḥ (b) Uṉmāta pittam (c) Mālankhūliyā; Depressive pyschosis disorder due to aggravated Aẕal (TM2); (b) Tamanta pittam; Aggravated Aiyam with depressive psychosis disorder (TM2); (b) Vikāram; Aggravated Aiyam leading to catatonia disorder (TM2); (b) Veṟi; Transient depression disorder (TM2); (a) dīnatā; (a) viṣādaḥ; Psychoneurosis disorder (TM2); (c) Mālankhūliya Marāqī, (c) Nafkh Marāqī, (c) Marāqiyya, (c) ‘Illat Nāfikha, (c) Sharsūfiya; Depressive disorder due to derangement of Ṣafrā (TM2); (c) Mālankhūliyā Ṣafrāwī; Depressive disorder due to derangement of Sawdā’ (TM2); (c) Mālankhūliyā Sawdāwī; Depressive disorder due to derangement of Balgham (TM2); (c) Mālankhūliyā Balghamī; Depressive disorder due to derangement of Dam (TM2); (c) Mālankhūliyā Damawī",chapter26
SQ05,"Lack of concentration, confusion disorder (TM2)",,,,,"Lack of concentration, confusion disorder (TM2); (a) anavasthitacittatvam (c) Ikhtlāṭ al-Dhahn; (c) ekhtelAt-e zehn",chapter26
SQ10,Anxiety ephemeral fever disorder (TM2),,,,,Anxiety ephemeral fever disorder (TM2); (a) mana-santāpaḥ (b) Paya Curam (c) Ḥummā al-Yawm Fikriyya,chapter26
SQ20,Alcoholism disorder (TM2),,,,,Alcoholism disorder (TM2); (a) madātyayaḥ (b) Kuṭi veṟi nōy (c) Kathrat-i-Sharāb Noshī; (a) pānātyayaḥ; Alcoholic headache disorder (TM2); (c) Ṣudā‘ Khumārī; Intoxicating ephemeral fever disorder (TM2); (c) Ḥummā al-Yawm Sharābiyya; Alcoholic tremors disorder (TM2); (c) Ra‘sha Sharābiyya,chapter26
SQ21,Egomania disorder (TM2),,,,,Egomania disorder (TM2); (b) Cerukku nōy (c) Ru‘ūnat,chapter26
SQ22,Non alcoholic intoxication disorder (TM2),,,,,Non alcoholic intoxication disorder (TM2); (a) madaḥ (b) Matam,chapter26
SQ23,Panic attack disorder (TM2),,,,,Panic attack disorder (TM2); (b) Mayakka nōy (c) Ghashī Nafsānī; (c) Ghashī Az ‘Awāriḍ Nafsānī,chapter26
SQ24,Insomnia disorder (TM2),,,,,Insomnia disorder (TM2); (a) asvapnaḥ; (a) nidrānāśaḥ (b) Uṟakkamiṉmai (c) Sahar; Insomnia disorder due to excessive dryness (TM2); (c) Sahar Yābis; Insomnia disorder due to excessive moistness (TM2); (c) Sahar Ruṭūbī,chapter26
SQ40,Hypersomnia disorder (TM2),,,,,Hypersomnia disorder (TM2); (a) nidrādhikyam (c) Subāt; (b) Vāta piramai; (c) sobAt; Hypersomnia disorder due to derangement of Dam (TM2); (c) Subāt Damawī,chapter26
SQ41,Lycanthropy disorder (TM2),,,,,"Lycanthropy disorder (TM2); (a) pittaja-unmādaḥ (b) Acāttiya pittam (c) Quṭrub; (c) ‘Illa al-Dhi’b, (c) Junūn Dhi’bī",chapter26
SQ50,Worm infestation disorder (TM2),,,,,Worm infestation disorder (TM2); (a) kṛmiḥ (b) Puẕu nōykaḷ (c) Dīdān al-Am‘ā’; (a) sañjātakṛmi; Vomiting due to worm infestation disorder (TM2); (c) Qay’ Dīdānī; Faecal worm infestation disorder (TM2); (a) purīṣajakṛmiḥ; Vomiting due to helmenthic infections disorder (TM2); (b) Puẕu vānti; Round worm Infestation disorder (TM2); (b) Nākkuppūcci; Tape worm disorder (TM2); (b) Macaraipuẕu; Thread worm infestation disorder (TM2); (b) Kīri puẕu,chapter26
SQ60,Pseudo poisoning disorder (TM2),,,,,Pseudo poisoning disorder (TM2); (a) śaṅkhaviṣaḥ (b) Viṭappāka rōkam,chapter26
SQ61,Artificial poison disorder (TM2),,,,,Artificial poison disorder (TM2); (a) garaviṣaḥ (b) Iṭumaruntu nañcu,chapter26
SQ80,Inadequate diet disorders (TM2),,,,,Inadequate diet disorders (TM2); (a) hīnamātrāhāraḥ (b) Ūṭṭaccattu kuṟaipāṭu nōykaḷ,chapter26
SR00,Marasmus disorder (TM2),,,,,Marasmus disorder (TM2); (a) kumāraśoṣaḥ (b) Varaṭ kaṇam,chapter26
SR01,Bed wetting disorder (TM2),,,,,Bed wetting disorder (TM2); (a) śayyāmūtratvam (c) Bawl fi’l Farāsh; (b) Palarcoṭṭunīr; Infantile acute gastroenteritis disorder (TM2); (a) kṣīrālasakaḥ,chapter26
SR02,Infantile dysentry disorder (TM2),,,,,Infantile dysentry disorder (TM2); (b) Māntak kaẕiccal (c) Zaḥīr al-Aṭfāl; Dysentery disorder due to respiratory disorders (TM2); (b) Kaṇa kaẕiccal,chapter26
SR03,Infantile epilepsy disorder (TM2),,,,,Infantile epilepsy disorder (TM2); (a) Skanda Apasmara (b) Kākkai Vaḷippu (c) Ṣar‘ al-Aṭfāl,chapter26
SR04,Ophthalmia neonatarum disorder (TM2),,,,,Ophthalmia neonatarum disorder (TM2); (a) kukūṇakaḥ (b) Amaram,chapter26
SR05,Childhood malnutrition disorder (TM2),,,,,Childhood malnutrition disorder (TM2); (a) pārigarbhikaḥ (b) Nīrāmakkaṇam; Protein energy malnutrition,chapter26
SR06,Oral thrush in babies disorder (TM2),,,,,Oral thrush in babies disorder (TM2); (b) Kumari akkaram (c) Qulā‘-i-Ṣibyān,chapter26
SR10,Vitiation of vāta pattern (TM2),,,,,Vitiation of vāta pattern (TM2); (a) vātaprakopaḥ,chapter26
SR11,Accumulation of Vata pattern (TM2),,,,,Accumulation of Vata pattern (TM2); (a) vātasañcayaḥ,chapter26
SR12,Aggravation of vata pattern (TM2),,,,,Aggravation of vata pattern (TM2); (a) vātavṛddhiḥ; Increased vāta (TM2),chapter26
SR13,Spreading of vata pattern (TM2),,,,,Spreading of vata pattern (TM2); (a) vātaprasaraḥ,chapter26
SR14,Depletion of vata pattern (TM2),,,,,Depletion of vata pattern (TM2); (a) vātakṣayaḥ,chapter26
SR15,Vitiation of pitta pattern (TM2),,,,,Vitiation of pitta pattern (TM2); (a) pittaprakopaḥ,chapter26
SR16,Accumulation of pitta pattern (TM2),,,,,Accumulation of pitta pattern (TM2); (a) pittasañcayaḥ,chapter26
SR17,Aggravation of pitta pattern (TM2),,,,,Aggravation of pitta pattern (TM2); (a) pittavṛddhiḥ; Increased pitta (TM2),chapter26
SR18,Spreading of pitta pattern (TM2),,,,,Spreading of pitta pattern (TM2); (a) pittaprasaraḥ,chapter26
SR19,Depletion of pitta pattern (TM2),,,,,Depletion of pitta pattern (TM2); pittakṣayaḥ,chapter26
SR1A,Vitiation of kapha pattern (TM2),,,,,Vitiation of kapha pattern (TM2); (a) kaphaprakopaḥ,chapter26
SR1B,Accumulation of kapha pattern (TM2),,,,,Accumulation of kapha pattern (TM2); (a) kaphasañcayaḥ,chapter26
SR1C,Aggravation of kapha pattern (TM2),,,,,Aggravation of kapha pattern (TM2); (a) kaphavṛddhiḥ; Increased kapha (TM2),chapter26
SR1D,Spreading of kapha pattern (TM2),,,,,Spreading of kapha pattern (TM2); (a) kaphaprasaraḥ,chapter26
SR1E,Depletion of kapha pattern (TM2),,,,,Depletion of kapha pattern (TM2); (a) kaphakṣayaḥ,chapter26
SR1F,Increase of Vaḷi pattern (TM2),,,,,Increase of Vaḷi pattern (TM2); (b) Vaḷi miku kuṇam,chapter26
SR1G,Increase of Aẕal pattern (TM2),,,,,Increase of Aẕal pattern (TM2); (b) Aḻal mikukuṇam,chapter26
SR1H,Increase of Aiyam pattern (TM2),,,,,Increase of Aiyam pattern (TM2); (b) Aiyam mikukuṇam,chapter26
SR1J,Decrease of Vaḷi pattern (TM2),,,,,Decrease of Vaḷi pattern (TM2); (b) Vaḷi kuṟai kuṇam,chapter26
SR1K,Decrease of Aẕal pattern (TM2),,,,,Decrease of Aẕal pattern (TM2); (b) Aḻal kuṟaikuṇam,chapter26
SR1L,Decrease of Aiyam pattern (TM2),,,,,Decrease of Aiyam pattern (TM2); (b) Aiyam kuṟaikuṇam,chapter26
SR1M,Predominance of Dam pattern (TM2),,,,,Predominance of Dam pattern (TM2); (c) Ghalaba’-i-Dam,chapter26
SR1N,Predominance of Ṣafrā’ pattern (TM2),,,,,Predominance of Ṣafrā’ pattern (TM2); (c) Ghalaba’-i-Ṣafrā’,chapter26
SR1P,Predominance of Balgham pattern (TM2),,,,,Predominance of Balgham pattern (TM2); (c) Ghalaba’-i-Balgham,chapter26
SR1Q,Predominance of Sawdā’ pattern (TM2),,,,,Predominance of Sawdā’ pattern (TM2); (c) Ghalaba’-i-Sawdā’,chapter26
SR1R,Blood thickening pattern (TM2),,,,,Blood thickening pattern (TM2); (c) Ghilẓa al-Dam; (c) ghelzat-e khoon,chapter26
SR1S,Blood thinning pattern (TM2),,,,,Blood thinning pattern (TM2); (c) Riqqa al-Dam; (c) reqqat-e khoon,chapter26
SR1T,Blood deficiency pattern (TM2),,,,,Blood deficiency pattern (TM2); (c) Qilla al-Dam; (c) qellat-e khoon,chapter26
SR1U,Blood hyperviscosity pattern (TM2),,,,,Blood hyperviscosity pattern (TM2); (c) Luzūja al-Dam; (c) lozoujat-e khoon,chapter26
SR1V,Spoilage of humors pattern (TM2),,,,,Spoilage of humors pattern (TM2); (c) Fasād-i-Khilṭ; (c) fesAd-e khelt,chapter26
SR1W,Burning of humors pattern (TM2),,,,,Burning of humors pattern (TM2); (c) Iḥtirāq-i-Khilṭ; (c) ehterAq-e khelt,chapter26
SR1X,Thickening of humors pattern (TM2),,,,,Thickening of humors pattern (TM2); (c) Ghilẓa al-Khilṭ; (c) ghelzat-e khelt,chapter26
SR20,Pattern of occlusion (TM2),,,,,Pattern of occlusion (TM2); (a) āvaraṇa; Pattern of vāta occluded by pitta (TM2); (a) pittāvṛtavātaḥ; Pattern of primary impulse of vata occluded by pitta (TM2); (a) pittāvṛtaprāṇavātaḥ; Pattern of ascending vata occluded by pitta (TM2); (a) pittāvṛta-udānavātaḥ; Pattern of circulating vata occluded by pitta (TM2); (a) pittāvṛtavyānavātaḥ; Pattern of kindling vata occluded by pitta (TM2); (a) pittāvṛta-samānavātaḥ; Pattern of descending vata occluded by pitta (TM2); (a) pittāvṛta-apānavātaḥ; Pattern of vāta occluded by kapha (TM2); (a) kaphāvṛtavātaḥ; Pattern of primary impulse of vata occluded by kapha (TM2); (a) kaphāvṛtaprāṇavātaḥ; Pattern of ascending vata occluded by kapha (TM2); (a) kaphāvṛta-udānavātaḥ; Pattern of circulating vata occluded by kapha (TM2); (a) kaphāvṛtavyānavātaḥ; Pattern of kindling vata occluded by kapha (TM2); (a) kaphāvṛtasamānavātaḥ; Pattern of descending vata occluded by kapha (TM2); (a) kaphāvṛta-apānavātaḥ; Pattern of vāta occluded by all primary structural components of the body (TM2); sarvadhātvāvṛtavātaḥ; Pattern of vāta occluded by blood (TM2); (a) raktāvṛtavātaḥ; Pattern of vāta occluded by muscle tissue (TM2); (a) māṃsāvṛtavātaḥ; Pattern of vāta occluded by bone tissue (TM2); (a) asthyāvṛtavātaḥ; Pattern of vāta occluded by bone marrow (TM2); (a) majjāvṛtavātaḥ; Pattern of vāta occluded by reproductive tisses (TM2); (a) śukrāvṛtavātaḥ; Pattern of occlusion of vāta by faeces (TM2); (a) malāvṛtavātaḥ; Pattern of vāta occluded by urine (TM2); (a) mūtrāvṛtavātaḥ; Pattern of vāta occluded by food (TM2); (a) annāvṛtavātaḥ; Pattern of vāta occluded by fat (TM2); (a) medasāvṛtavātaḥ,chapter26
SR40,"Vitiation of ""primary structural components of the body"" pattern (TM2)",,,,,"Vitiation of ""primary structural components of the body"" pattern (TM2); dhātuvaiṣamyam",chapter26
SR41,Aggravation of primary circulating nutrient fluid pattern (TM2),,,,,Aggravation of primary circulating nutrient fluid pattern (TM2); (a) rasavṛddhiḥ; (b) Cāram mikukuṇam; Increase in Chyle (TM2),chapter26
SR42,Depletion of primary circulating nutrient fluid pattern (TM2),,,,,Depletion of primary circulating nutrient fluid pattern (TM2); (a) rasakṣayaḥ; (b) Cāram kuṟaikuṇam; Decrease in chyle (TM2),chapter26
SR43,Morbid increase of blood pattern (TM2),,,,,Morbid increase of blood pattern (TM2); (a) raktavṛddhiḥ; (b) Cennīr mikukuṇam,chapter26
SR44,Depletion of blood pattern (TM2),,,,,Depletion of blood pattern (TM2); (a) raktakṣayaḥ; (b) Cennīr kuṟaikuṇam,chapter26
SR45,Excessive increase of muscular tissues pattern (TM2),,,,,Excessive increase of muscular tissues pattern (TM2); (a) māṃsavṛddhiḥ; (b) Ūṉ mikukuṇam,chapter26
SR46,Depletion of muscular tissues pattern (TM2),,,,,Depletion of muscular tissues pattern (TM2); (a) māṃsakṣayaḥ; (b) Ūṉ kuṟaikuṇam,chapter26
SR47,Increase of adipose tissues pattern (TM2),,,,,Increase of adipose tissues pattern (TM2); (a) medovṛddhiḥ; (b) Koḻuppu mikukuṇam,chapter26
SR48,Depletion of adipose tissues pattern (TM2),,,,,Depletion of adipose tissues pattern (TM2); (a) medaḥkṣayaḥ; (b) Koḻuppu kuṟaikuṇam,chapter26
SR49,Increase of bone tissues pattern (TM2),,,,,Increase of bone tissues pattern (TM2); (a) asthivṛddhiḥ; (b) Eṉpu miku kuṇam,chapter26
SR4A,Depletion of bone tissues pattern (TM2),,,,,Depletion of bone tissues pattern (TM2); (a) asthikṣayaḥ; (b) Eṉpu kuṟai kuṇam,chapter26
SR4B,Increase of bone marrow pattern (TM2),,,,,Increase of bone marrow pattern (TM2); (a) majjāvṛddhiḥ; (b) Mūḷai miku kuṇam,chapter26
SR4C,Depletion of bone marrow pattern (TM2),,,,,Depletion of bone marrow pattern (TM2); (a) majjākṣayaḥ; (b) Mūḷai kuṟai kuṇam,chapter26
SR4D,Increase of reproductive tissues and semen pattern (TM2),,,,,Increase of reproductive tissues and semen pattern (TM2); (a) śukravṛddhiḥ; (a) śukrādhikyam; (b) Veṇṇīr mikukuṇam,chapter26
SR4E,Depletion of reproductive tissues and semen pattern (TM2),,,,,Depletion of reproductive tissues and semen pattern (TM2); (a) śukrakṣayaḥ; (b) Veṇṇīr kuṟaikuṇam,chapter26
SR4F,Diminution of Ojas pattern (TM2),,,,,Diminution of Ojas pattern (TM2); (a) ojaḥkṣayaḥ,chapter26
SR4G,Derangement of Ojas pattern (TM2),,,,,Derangement of Ojas pattern (TM2); (a) ojovyāpat,chapter26
SR4H,Dislodgement of Ojas pattern (TM2),,,,,Dislodgement of Ojas pattern (TM2); (a) ojovisraṃsaḥ,chapter26
SR4J,Increased menstrual flow pattern (TM2),,,,,Increased menstrual flow pattern (TM2); (a) ārtavavṛddhiḥ,chapter26
SR4K,Diminution of menstrual flow pattern (TM2),,,,,Diminution of menstrual flow pattern (TM2); (a) ārtavakṣayaḥ; Hypomenorrhoea (TM2),chapter26
SR4L,Increased secretion of breast milk pattern (TM2),,,,,Increased secretion of breast milk pattern (TM2); (a) stanyavṛddhiḥ,chapter26
SR4M,Decreased secretion of breast milk pattern (TM2),,,,,Decreased secretion of breast milk pattern (TM2); (a) stanyakṣayaḥ,chapter26
SR50,Derangement of channels carrying essense of digested food pattern (TM2),,,,,Derangement of channels carrying essense of digested food pattern (TM2); (a) rasavahasrotoduṣṭiḥ,chapter26
SR51,Derangement of channels enriching blood pattern (TM2),,,,,Derangement of channels enriching blood pattern (TM2); (a) raktavahasrotoduṣṭiḥ,chapter26
SR52,Derangement of channels enriching muscle tissue pattern (TM2),,,,,Derangement of channels enriching muscle tissue pattern (TM2); (a) māṃsavahasrotoduṣṭiḥ,chapter26
SR53,Derangement of channels carrying fat pattern (TM2),,,,,Derangement of channels carrying fat pattern (TM2); (a) medovahasrotoduṣṭiḥ,chapter26
SR54,Derangement of channels enriching bone pattern (TM2),,,,,Derangement of channels enriching bone pattern (TM2); (a) asthivahasrotoduṣṭiḥ,chapter26
SR55,Derangement of channels enriching bone marrow pattern (TM2),,,,,Derangement of channels enriching bone marrow pattern (TM2); (a) majjāvahasrotoduṣṭiḥ,chapter26
SR56,Derangement of channels enriching seminal fluid pattern (TM2),,,,,Derangement of channels enriching seminal fluid pattern (TM2); (a) śukravahasrotoduṣṭiḥ,chapter26
SR57,Derangement of channels enriching vital life force pattern (TM2),,,,,Derangement of channels enriching vital life force pattern (TM2); (a) prāṇavahasrotoduṣṭiḥ,chapter26
SR58,Derangement of channels for fluid circulation pattern (TM2),,,,,"Derangement of channels for fluid circulation pattern (TM2); (a) ambuvahasrotoduṣṭiḥ, (a) udakavahasrotoduṣṭiḥ",chapter26
SR59,Derangement of digestive tract pattern (TM2),,,,,Derangement of digestive tract pattern (TM2); (a) annavahasrotoduṣṭiḥ,chapter26
SR5A,Derangement of channels of faeces pattern (TM2),,,,,Derangement of channels of faeces pattern (TM2); (a) purīṣavahasrotoduṣṭiḥ,chapter26
SR5B,Derangement of urinary tract pattern (TM2),,,,,Derangement of urinary tract pattern (TM2); (a) mūtravahasrotoduṣṭiḥ,chapter26
SR5C,Derangement of channels producing sweat pattern (TM2),,,,,Derangement of channels producing sweat pattern (TM2); (a) svedavahasrotoduṣṭiḥ,chapter26
SR5D,Derangement of channels enriching breast milk pattern (TM2),,,,,Derangement of channels enriching breast milk pattern (TM2); (a) stanyavahasrotoduṣṭiḥ,chapter26
SR5E,Derangement of mind related channels pattern (TM2),,,,,Derangement of mind related channels pattern (TM2); (a) manovahasrotoduṣṭiḥ,chapter26
SR60,Increase of female reproductive tissue pattern (TM2),,,,,Increase of female reproductive tissue pattern (TM2); (b) Curōṇitam mikukuṇam,chapter26
SR61,Decrease of female reproductive tissue pattern (TM2),,,,,Decrease of female reproductive tissue pattern (TM2); (b) Curōṇitam kuṟaikuṇam,chapter26
SR62,Pattern resulting in abnormal number of organs and appendages (TM2),,,,,Pattern resulting in abnormal number of organs and appendages (TM2); (c) Amrāḍ-i-‘Adad; Increase in number of organs pattern (TM2); (c) Ziyādatī-i-‘Adad; Congenital increase in number of parts of the body pattern (TM2); (c) Ṭab‘ī Ziyādatī; Acquired pathological increase in the parts of the body pattern (TM2); (c) Ghayr Ṭab‘ī Ziyādatī; Decrease in number of organs pattern (TM2); (c) Naqṣ-i-‘Adad; Congenital decrease in number of organs pattern (TM2); (c) Ṭab‘ī Naqṣ; Acquired decrease in number of organs pattern (TM2); (c) Ghayr Ṭab‘ī Naqṣ,chapter26
SR63,Pattern of abnormal positioning of organs and appendages (TM2),,,,,Pattern of abnormal positioning of organs and appendages (TM2); (c) Amrāḍ al-Waḍ‘; Pattern related with the position (TM2); (c) Amrāḍ-i- Mawḍa‘; Complete displacement of body part pattern (TM2); (c) Zawāl-i-‘Uḍw Kāmil; Incomplete displacement of body part pattern (TM2); (c) Zawāl-i-‘Uḍw Nāqiṣ,chapter26
SR64,Pattern of abnormal relative position of organs (TM2),,,,,Pattern of abnormal relative position of organs (TM2); (c) Amrāḍ-i- Mushārakat; Abnormal movement of organs pattern (TM2); (c) Ḥarakat Ghayr Ṭab‘ī; Difficulty in movement of organs pattern (TM2); (c) ‘Usr-i-Ḥarakat; Restriction of movement of organs pattern (TM2); (c) Imtinā‘-i-Ḥarakat,chapter26
SR65,Loss of continuity pattern (TM2),,,,,Loss of continuity pattern (TM2); (c) Tafarruq al-Ittiṣāl,chapter26
SR66,Rīḥ pattern (TM2),,,,,Rīḥ pattern (TM2); (c) Maraḍ Nāshī az Rīḥ; (c) maraz-e nAshi az rih,chapter26
SR67,Bukhārāt pattern (TM2),,,,,Bukhārāt pattern (TM2); (c) Maraḍ Nāshī az Bukhārāt; (c) maraz-e nAshi az abkhareh,chapter26
SR68,Compound pattern (TM2),,,,,Compound pattern (TM2); (c) Amrāḍ Murakkaba,chapter26
SR69,Pattern of quantity (TM2),,,,,Pattern of quantity (TM2); (c) Amrāḍ-i-Miqdār; (c) maraz-e kamm,chapter26
SR80,Morbid increase of feces pattern (TM2),,,,,Morbid increase of feces pattern (TM2); (a) purīṣavṛddhiḥ,chapter26
SR81,Depletion of faeces pattern (TM2),,,,,Depletion of faeces pattern (TM2); (a) purīṣakṣayaḥ,chapter26
SR82,Excessive urine pattern (TM2),,,,,Excessive urine pattern (TM2); (a) mūtravṛddhiḥ,chapter26
SR83,Reduced urine pattern (TM2),,,,,Reduced urine pattern (TM2); mūtrakṣayaḥ,chapter26
SR84,Hyperhidrosis pattern (TM2),,,,,Hyperhidrosis pattern (TM2); (a) svedavṛddhiḥ,chapter26
SR85,Anhidrosis pattern (TM2),,,,,Anhidrosis pattern (TM2); (a) svedakṣayaḥ,chapter26
SR86,Faeces with undigested food residues pattern (TM2),,,,,Faeces with undigested food residues pattern (TM2); (a) sāmamalaḥ,chapter26
SR87,Urine of over heat pattern (TM2),,,,,Urine of over heat pattern (TM2); (b) Ati uṭṭiṇa nīr,chapter26
SR88,Urine colour of excessive cold pattern (TM2),,,,,Urine colour of excessive cold pattern (TM2); (b) Miku cītaḷa nīr niṟam,chapter26
SR89,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)",,,,,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2); (b) Mummalaṅkaḷai mikavum atikamāka keṭukkum nīr niṟam",chapter26
SR8A,Urine like colour of raw-meat washings pattern (TM2),,,,,Urine like colour of raw-meat washings pattern (TM2); (c) Bawl Ghusālī,chapter26
SR8B,Delayed passing of stool pattern (TM2),,,,,Delayed passing of stool pattern (TM2); (c) Buṭū’ Khurūj al-Barāz,chapter26
SR8C,Dry stool pattern (TM2),,,,,Dry stool pattern (TM2); (c) Al-Barāz al-Yābis,chapter26
SR8D,Larger quantity of stool pattern (TM2),,,,,Larger quantity of stool pattern (TM2); (c) Ziyāda al-Barāz,chapter26
SR8E,Sharp smelling sweat pattern (TM2),,,,,Sharp smelling sweat pattern (TM2); (c) Al-‘Araq Ḥādd al-Rā’iḥa,chapter26
SR8F,Sour smelling sweat pattern (TM2),,,,,Sour smelling sweat pattern (TM2); (c) Al-‘Araq Ḥāmiḍ al-Rīḥ,chapter26
SR8G,Sweat of thick consistency pattern (TM2),,,,,Sweat of thick consistency pattern (TM2); (c) Al-‘Araq al-Ghalīẓ,chapter26
SR8H,Sweat of thin consistency pattern (TM2),,,,,Sweat of thin consistency pattern (TM2); (c) Al-‘Araq al-Raqīq,chapter26
SR8J,Lack of sweat pattern (TM2),,,,,Lack of sweat pattern (TM2); (c) Al-‘Araq al-Qalīl al-Miqdār; Deficient sweating (TM2),chapter26
SR8K,Excess of sputum pattern (TM2),,,,,Excess of sputum pattern (TM2); (c) Al-Nafth al-Kathīr al-Miqdār; Excessive expectoration (TM2),chapter26
SR8L,Lack of sputum pattern (TM2),,,,,Lack of sputum pattern (TM2); (c) Al-Nafth al-Qalīl al-Miqdār; Scanty expectoration (TM2),chapter26
SR8M,Moderate quantity of sputum during convalescence pattern (TM2),,,,,Moderate quantity of sputum during convalescence pattern (TM2); (c) Al-Nafth al-Mu‘tadil al-Miqdār,chapter26
SR8N,Excess of sweat pattern due to decreased vitality (TM2),,,,,Excess of sweat pattern due to decreased vitality (TM2); (c) Ifrāṭ al-‘Araq; Excessive sweating (TM2),chapter26
SS10,Derangement of digestive power pattern (TM2),,,,,Derangement of digestive power pattern (TM2); (a) agnivaiṣamyam,chapter26
SS11,Irregular digestive power pattern (TM2),,,,,Irregular digestive power pattern (TM2); (a) viṣamāgniḥ,chapter26
SS12,Elevated digestive power pattern (TM2),,,,,Elevated digestive power pattern (TM2); (a) tīkṣṇāgniḥ,chapter26
SS13,Subdued digestive power pattern (TM2),,,,,"Subdued digestive power pattern (TM2); (a) mandāgniḥ, (a) agnisādaḥ",chapter26
SS14,Highly elevated digestive power pattern (TM2),,,,,"Highly elevated digestive power pattern (TM2); (a) atyagniḥ, (a) bhasmakaḥ",chapter26
SS15,"State of incomplete digestion, transformation or metabolism pattern (TM2)",,,,,"State of incomplete digestion, transformation or metabolism pattern (TM2); (a) āmadoṣaḥ; (a) āmavasthā",chapter26
SS16,Natural digestive fire pattern (TM2),,,,,Natural digestive fire pattern (TM2); (b) Camākkiṉi,chapter26
SS17,Strong digestive fire pattern (TM2),,,,,Strong digestive fire pattern (TM2); (b) Tīṣaṇākkiṉi,chapter26
SS18,Toxic digestive fire pattern (TM2),,,,,Toxic digestive fire pattern (TM2); (b) Viṣamākkiṉi,chapter26
SS19,Weak digestive fire pattern (TM2),,,,,Weak digestive fire pattern (TM2); (b) Mantākkiṉi,chapter26
SS20,Suppression of breath pattern (TM2),,,,,Suppression of breath pattern (TM2); (b) Mūccai aṭakkutalāl ēṟpaṭum māṟutalkaḷ,chapter26
SS21,Suppression of yawning pattern (TM2),,,,,Suppression of yawning pattern (TM2); (a) jṛmbhāvegarodhaḥ; (b) Koṭṭāviyai aṭakkutal,chapter26
SS22,Suppression of hunger and thirst together pattern (TM2),,,,,Suppression of hunger and thirst together pattern (TM2); (b) Paci maṟṟum tākattiṉai aṭakkutal,chapter26
SS23,Suppression of semen pattern (TM2),,,,,Suppression of semen pattern (TM2); (a) śukravegarodhaḥ; (b) Cukkilattai aṭakkutal,chapter26
SS24,Suppression of cough pattern (TM2),,,,,Suppression of cough pattern (TM2); (b) Irumalai aṭakkutal,chapter26
SS25,Suppression of micturition pattern (TM2),,,,,Suppression of micturition pattern (TM2); (a) mūtravegarodhaḥ; (b) Ciṟunīrai aṭakkutal,chapter26
SS26,Suppression of sleep pattern (TM2),,,,,Suppression of sleep pattern (TM2); (a) nidrāvegarodhaḥ; (b) Tūkkattai aṭakkal,chapter26
SS27,Suppression of sneeze pattern (TM2),,,,,Suppression of sneeze pattern (TM2); (a) kṣavathuvegarodhaḥ; (b) Tummalai aṭakkutal,chapter26
SS28,Suppression of tears pattern (TM2),,,,,Suppression of tears pattern (TM2); (a) aśruvegarodhaḥ; (b) Kaṇṇīrai aṭakkutal,chapter26
SS29,Suppression of vomiting pattern (TM2),,,,,Suppression of vomiting pattern (TM2); (a) chardivegarodhaḥ; (b) Vāntiyai aṭakkutal,chapter26
SS2A,Suppression of stool pattern (TM2),,,,,Suppression of stool pattern (TM2); (a) purīṣavegarodhaḥ; (b) Malattiṉai aṭakkutal,chapter26
SS2B,Supression of exertional hyperpnea pattern (TM2),,,,,Supression of exertional hyperpnea pattern (TM2); (a) śramaśvāsavegarodhaḥ,chapter26
SS2C,Suppression of hunger pattern (TM2),,,,,Suppression of hunger pattern (TM2); (a) kṣudvegarodhaḥ,chapter26
