code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
JA43.2,Delayed or secondary postpartum haemorrhage,,"A condition characterised by excessive loss of blood between 24 hours and 12 weeks after delivery. This condition is caused by uterine atony, trauma, retained placenta, or coagulopathy.",,,"Delayed or secondary postpartum haemorrhage; delayed and secondary postpartum haemorrhage, unspecified as to episode of care; delayed or secondary puerperal haemorrhage; delayed postpartum haemorrhage; delayed puerperal metrorrhagia; delayed secondary puerperal metrorrhagia; delayed uterine puerperal haemorrhage; haemorrhage after first 24 hours following delivery of placenta; haemorrhage after the first 24 hours following delivery; postpartum haemorrhage specified as delayed or secondary; Haemorrhage associated with retained portions of placenta or membranes; partial retention of secundines NOS; retained membrane NOS; retention of membranes NOS; Retained products of conception following delivery; retained secundines NOS; Puerperal bleeding capillary",chapter18
JA43.3,Postpartum coagulation defects,,A condition characterised by excessive loss of blood following a vaginal or caesarean section delivery. This condition is caused by coagulation defects during the postpartum period.,,,Postpartum coagulation defects; puerperal coagulopathy; Circulating anticoagulants following childbirth; Postpartum afibrinogenaemia; Postpartum blood dyscrasia; puerperal blood dyscrasia; Postpartum defibrination syndrome; postpartum defibrination; Postpartum fibrinolysis; Postpartum fibrinolysis with haemorrhage; Postpartum intravascular hemolysis; Puerperal thrombocytopaenia,chapter18
JA43.4,Postpartum haemorrhage following obstructed labour with uterine rupture,,,,,Postpartum haemorrhage following obstructed labour with uterine rupture,chapter18
JA43.5,Postpartum haemorrhage following obstructed labour without mention of uterine rupture,,,,,Postpartum haemorrhage following obstructed labour without mention of uterine rupture,chapter18
JA60,Excessive vomiting in pregnancy,,,,,,chapter18
JA60.0,Mild hyperemesis gravidarum,,Vomiting occurring during pregnancy responsive to dietary modification and antiemetic treatment,"Hyperemesis gravidarum, mild or unspecified, starting before the end of the 22nd week of gestation",Hyperemesis gravidarum with metabolic disturbance,"Mild hyperemesis gravidarum; Hyperemesis gravidarum, mild or unspecified, starting before the end of the 22nd week of gestation; hyperemesis gravidarum NOS",chapter18
JA60.1,Hyperemesis gravidarum with metabolic disturbance,,"Vomiting in pregnancy, not responsive to dietary modification and antiemetic treatment and associated with electrolyte disturbances and acid-base imbalance",,,"Hyperemesis gravidarum with metabolic disturbance; severe hyperemesis gravidarum; Hyperemesis gravidarum with carbohydrate depletion; Hyperemesis gravidarum, starting before the end of the 22nd week of gestation with carbohydrate depletion; carbohydrate depletion in hyperemesis gravidarum; Hyperemesis gravidarum with dehydration; Hyperemesis gravidarum, starting before the end of the 22nd week of gestation with dehydration; Hyperemesis gravidarum with electrolyte imbalance; Hyperemesis gravidarum, starting before the end of the 22nd week of gestation with electrolyte imbalance",chapter18
JA60.2,Late vomiting of pregnancy,,Vomiting occurring after 22 completed weeks of gestation.,Excessive vomiting starting after 22 completed weeks of gestation,,Late vomiting of pregnancy; Excessive vomiting starting after 22 completed weeks of gestation,chapter18
JA61,Venous complications in pregnancy,,,,"obstetric pulmonary embolism; Complications following abortion, ectopic or molar pregnancy; Venous complications in the puerperium",,chapter18
JA61.0,Varicose veins of lower extremity in pregnancy,,,,,Varicose veins of lower extremity in pregnancy; Varicose veins NOS in pregnancy; pregnancy varix; varices in pregnancy,chapter18
JA61.1,Genital varices in pregnancy,,,,,Genital varices in pregnancy; Perineal varices in pregnancy; Vaginal varices in pregnancy; Vulval varices in pregnancy,chapter18
JA61.2,Superficial thrombophlebitis in pregnancy,,,Thrombophlebitis of legs in pregnancy,,"Superficial thrombophlebitis in pregnancy; Thrombophlebitis of legs in pregnancy; superficial thrombophlebitis in pregnancy, unspecified trimester; thrombophlebitis in pregnancy; Superficial thrombophlebitis of antepartum; antepartum thrombophlebitis",chapter18
JA61.3,Deep phlebothrombosis in pregnancy,,,,,Deep phlebothrombosis in pregnancy; antenatal DVT - [deep vein thrombosis]; antenatal deep vein thrombosis; antepartum deep phlebothrombosis; antepartum deep thrombophlebitis; antepartum deep thrombophlebitis of leg; antepartum deep vein thrombosis; deep phlebitis complicating pregnancy; deep phlebitis in pregnancy; deep venous thrombosis of pregnancy,chapter18
JA61.4,Haemorrhoids in pregnancy,,"A condition affecting females during pregnancy, caused by an increase in intra-abdominal pressure and hormonal changes during pregnancy. This condition is characterised by enlarged and varicosed haemorrhoidal veins in the anus and lower rectum. This condition may also present with itching, burning, painful swellings at the anus, dyschezia or rectal bleeding with bowel movements. Confirmation is by digital or visual examination with an anoscope, proctoscope, or sigmoidoscope of the anal canal and rectum to determine the presence of haemorrhoids.",,,Haemorrhoids in pregnancy; haemorrhoid complicating pregnancy,chapter18
JA61.5,Cerebral venous thrombosis in pregnancy,,,Cerebrovenous sinus thrombosis in pregnancy,,"Cerebral venous thrombosis in pregnancy; Cerebrovenous sinus thrombosis in pregnancy; cerebral venous thrombosis in pregnancy, unspecified trimester; intracranial venous sinus thrombosis of pregnancy",chapter18
JA62,Infections of genitourinary tract in pregnancy,,,,,,chapter18
JA62.0,Infections of kidney in pregnancy,,Kidney infections occurring during pregnancy,,,"Infections of kidney in pregnancy; infection of kidney, complicating pregnancy; Abscess of kidney, complicating pregnancy; Pyelitis complicating pregnancy; Pyelonephritis complicating pregnancy",chapter18
JA62.1,Infections of bladder in pregnancy,,Bladder infections occurring during pregnancy,,,Infections of bladder in pregnancy; cystitis complicating pregnancy,chapter18
JA62.2,Infections of urethra in pregnancy,,Urethra infections occurring during pregnancy,,,Infections of urethra in pregnancy,chapter18
JA62.3,Infections of other parts of urinary tract in pregnancy,,"Infections of urinary tract other than kidney, bladder and urethra occurring during pregnancy",,,Infections of other parts of urinary tract in pregnancy,chapter18
